id,title,year_or_timeframe,category,domain,large_language_model_role,data_or_task_focus,publication_type_or_source,priority,first_pass,source_url,notes
17,MIRAI: Evaluating LLM Agents for Event Forecasting,2024,Forecasting and event prediction,International event forecasting; tool-using agents,Tool-using event forecaster and information retrieval agent,International event prediction using event databases and news sources,arXiv preprint,Core,Yes,https://arxiv.org/abs/2407.01231,Central benchmark for agentic international event forecasting.
18,A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting,2024,Forecasting and event prediction,Temporal event forecasting,Temporal event forecaster and evaluator,Systematic evaluation of future event prediction across temporal settings,arXiv preprint,Important,No,https://arxiv.org/html/2407.11638v2,Useful for understanding forecasting failures and temporal generalization.
19,The Power of Simplicity in LLM-Based Event Forecasting,2025,Forecasting and event prediction,Event forecasting; retrieval; evaluation methodology,"Forecaster with simple prompting, retrieval, and aggregation designs",Comparison of simple and complex language model forecasting pipelines,Association for Computational Linguistics workshop paper,Important,No,https://aclanthology.org/2025.realm-1.32/,Methodological caution against over-engineered agent frameworks.
20,Forecasting Future International Events: A Reliable Dataset for Text-Based Event Modeling / WORLDREP,2024,Forecasting and event prediction,International relations; future event prediction; dataset construction,Text-based event model and forecasting benchmark participant,Reliable dataset for future international event prediction,arXiv preprint,Core,Yes,https://arxiv.org/abs/2411.14042,Important for data quality and expert-validated labels in geopolitical forecasting.
21,OpenEP: Open-Ended Future Event Prediction,2024,Forecasting and event prediction,Open-ended event forecasting,Open-ended event forecaster,Future event prediction without forcing closed categorical outputs,arXiv preprint,Important,No,https://arxiv.org/html/2408.06578v2,Relevant because real strategic questions often require open-ended outcome descriptions.
22,The Future Is Unevenly Distributed: Forecasting Ability of LLMs Depends on What We’re Asking,2025,Forecasting and event prediction,Forecasting; benchmark design; domain sensitivity,Forecaster evaluated across question types and domains,Forecasting ability by question structure and information environment,arXiv preprint,Important,No,https://arxiv.org/abs/2511.18394,Useful warning that forecasting ability is not a single scalar model property.
23,LLM4Geopolitics: A Framework Leveraging Large Language Models for Predicting Geopolitical Events,2025,Forecasting and event prediction,Geopolitical event prediction; system architecture,Domain-adapted forecaster using retrieval and structured knowledge,"Geopolitical event prediction with knowledge graphs, retrieval, and event streams",Expert Systems journal article,Important,No,https://onlinelibrary.wiley.com/doi/10.1111/exsy.70258,Architecture-oriented paper for geopolitical prediction systems.
24,Geoeconomic Pressure,2026 or current working paper,"Geoeconomics, macro-finance, and supply chain",Geoeconomics; sanctions; tariffs; export controls; economic coercion,Text extractor and classifier for geoeconomic pressure events and actors,"Identification of actors, targets, tools, firms, products, threats, and realized pressure",National Bureau of Economic Research working paper,Core,Yes,https://www.nber.org/papers/w34020,One of the most directly relevant papers for geoeconomic measurement.
25,The AI-GPR Index: Measuring Geopolitical Risk using Artificial Intelligence,2024 or 2025,"Geoeconomics, macro-finance, and supply chain",Geopolitical risk; macro-finance; risk measurement,Risk classifier and intensity scorer for geopolitical risk in news,Artificial intelligence based geopolitical risk index construction,Working paper / research manuscript,Core,Yes,https://www.matteoiacoviello.com/research_files/AI_GPR_PAPER.pdf,Key paper for moving from keyword geopolitical risk indices to model-based scoring.
26,Quantifying Uncertainty: A New Era of Measurement Through Large Language Models,2024,"Geoeconomics, macro-finance, and supply chain",Uncertainty measurement; macroeconomics; geopolitical risk,Uncertainty index constructor from newspaper text,"Economic policy uncertainty, geopolitical risk, monetary policy uncertainty, and financial uncertainty",Swiss National Bank working paper,Important,No,https://www.snb.ch/public/asset/en/www-snb-ch/publications/research/working-papers/2024/working_paper_2024_12/publications0_en/working_paper_2024_12.pdf,Important companion to AI-based geopolitical risk measurement.
27,Macroeconomic Forecasting with Large Language Models,2024,"Geoeconomics, macro-finance, and supply chain",Macroeconomic forecasting,Macroeconomic forecaster and time-series reasoning system,Forecasting with macroeconomic datasets and language model methods,arXiv preprint,Important,No,https://arxiv.org/pdf/2407.00890,Useful for connecting geopolitical shocks to macroeconomic forecasting.
28,A Large-Scale LLM Analysis of Central Bank Communication,2025,"Geoeconomics, macro-finance, and supply chain",Central bank communication; monetary policy; macro-finance,"Fine-tuned text classifier for policy stance, themes, sentiment, and audience",Central bank speeches and communications,International Monetary Fund working paper,Important,No,https://www.imf.org/-/media/files/publications/wp/2025/english/wpiea2025109-print-pdf.pdf,Relevant for policy signal extraction and macro-financial expectation analysis.
29,Decomposing macroeconomic sentiment with LLMs,2025,"Geoeconomics, macro-finance, and supply chain",Macroeconomic sentiment; inflation; growth; news narratives,Narrative and sentiment decomposer for macroeconomic news,"Growth sentiment, inflation sentiment, and macro narrative decomposition",Bank for International Settlements working paper,Important,No,https://www.bis.org/publ/work1294.pdf,Good example of language models as macro narrative parsers.
30,"Forecasting Federal Fund Rates with AI: Long Short-Term Memory, Gated Recurrent Unit, and LLM",2025,"Geoeconomics, macro-finance, and supply chain",Interest-rate forecasting; central bank decision modeling,Text-enhanced predictor for Federal Reserve policy decisions,Federal funds rate forecasting with economic data and policy text,ASEAN+3 Macroeconomic Research Office working paper,Optional,No,https://amro-asia.org/wp-content/uploads/2025/09/AMRO_WP_25_10_FedAI_model.pdf,Useful if the review includes monetary-policy decision prediction.
31,BloombergGPT: A Large Language Model for Finance,2023,"Geoeconomics, macro-finance, and supply chain",Finance; financial natural language processing,Domain-specialized financial language model,Financial corpus pretraining and finance-specific benchmark evaluation,arXiv preprint,Important,No,https://arxiv.org/abs/2303.17564,Foundational finance-specialized language model relevant to geoeconomic intelligence systems.
32,FinGPT: Open-Source Financial Large Language Models,2023,"Geoeconomics, macro-finance, and supply chain",Finance; open-source financial language models,Open-source financial model and data-centric adaptation framework,"Financial data collection, adaptation, and model specialization",arXiv preprint,Important,No,https://arxiv.org/abs/2306.06031,Relevant for building open-source geoeconomic analysis pipelines.
33,FinBen: A Holistic Financial Benchmark for Large Language Models,2024,"Geoeconomics, macro-finance, and supply chain",Financial benchmarking; risk; forecasting; decision support,Model evaluated across financial tasks,Holistic benchmark for financial large language models,arXiv preprint,Important,No,https://arxiv.org/abs/2402.12659,Useful evaluation template for geoeconomic and financial language model systems.
34,FinRobot: An Open-Source AI Agent Platform for Financial Applications,2024,"Geoeconomics, macro-finance, and supply chain",Financial agents; financial analysis automation,Financial agent platform for analysis and decision support,Agentic workflows for financial applications,arXiv preprint,Optional / Engineering,No,https://arxiv.org/abs/2405.14767,Engineering reference for agentic financial analysis pipelines.
35,Digital innovation and supply chain risk: A large language model approach,2025,"Geoeconomics, macro-finance, and supply chain",Supply chain risk; firm-level exposure; innovation,Firm-level supply-chain risk measurement system,Supply chain risk extraction and relationship to digital innovation,Journal article / ScienceDirect,Important,No,https://www.sciencedirect.com/science/article/abs/pii/S0927538X25001362,Useful for connecting geoeconomic shock exposure to firms and supply chains.
36,Benchmarking large language models for supply chain risk identification within LARD-SC,2025,"Geoeconomics, macro-finance, and supply chain",Supply chain risk; benchmark evaluation,"Risk identifier, classifier, and explainer for supply-chain news",Supply chain risk identification in real news articles,Research manuscript / preprint listing,Important,No,https://www.researchgate.net/publication/395957937_Benchmarking_large_language_models_for_supply_chain_risk_identification_an_extended_evaluation_within_the_LARD-SC_framework,Good benchmark-style paper for supply-chain risk extraction.
37,Leveraging large language models to enhance multi-agent framework for supply chain networks,2026,"Geoeconomics, macro-finance, and supply chain",Supply chain networks; multi-agent risk simulation,Risk reasoning component inside multi-agent supply-chain framework,Supply-chain network risk assessment with language model enhanced agents,International Journal of Production Research article,Optional / Engineering,No,https://www.tandfonline.com/doi/full/10.1080/00207543.2026.2619562,Useful for geoeconomic shock simulation across supply-chain networks.
38,Generative Agents: Interactive Simulacra of Human Behavior,2023,Multi-agent and social simulation,Social simulation; generative agents; human behavior modeling,"Autonomous social agent with memory, reflection, and planning",Sandbox simulation of individual and emergent social behavior,arXiv preprint / conference paper,Core,Yes,https://arxiv.org/abs/2304.03442,Foundational architecture for large language model based agent simulations.
39,"Out of One, Many: Using Language Models to Simulate Human Samples",2023,Multi-agent and social simulation,Survey simulation; political behavior; synthetic populations,Synthetic respondent and population subgroup simulator,Simulation of human samples and survey responses,Political Analysis,Important,No,https://www.cambridge.org/core/journals/political-analysis/article/out-of-one-many-using-language-models-to-simulate-human-samples/035D7C8A55B237942FB6DBAD7CAA4E49,Central paper for synthetic population and political survey simulation debates.
40,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,2023,Multi-agent and social simulation,Human-subject study replication; synthetic participants,Simulator of multiple human participants,Replication of human-subject experiments with synthetic participants,International Conference on Machine Learning proceedings,Important,No,https://proceedings.mlr.press/v202/aher23a/aher23a.pdf,Important early empirical work on language models as simulated study participants.
41,"Generative Agent Simulations of 1,000 People",2024,Multi-agent and social simulation,Synthetic population simulation; social science; behavioral replication,Persona-conditioned generative agent based on real participant interviews,Simulation of over one thousand people and replication of survey and behavioral responses,arXiv preprint,Core,Yes,https://arxiv.org/abs/2411.10109,Major external-validity oriented work for large scale human simulation.
42,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,2025,Multi-agent and social simulation,Large-scale society simulation; public policy; social behavior,Large-scale agent population with social interaction and policy experiments,"Polarization, social dynamics, policy interventions, crises, and emergent behavior",arXiv preprint,Important,No,https://arxiv.org/abs/2502.08691,Useful for large-scale policy and social-dynamics simulation.
43,S3: Social-network Simulation System with Large Language Model-Empowered Agents,2023,Multi-agent and social simulation,Social network simulation; information diffusion; public opinion,Social-network agent for interaction and diffusion simulation,"Social-network behavior, information spread, and intervention simulation",arXiv preprint,Important,No,https://arxiv.org/pdf/2307.14984,"Relevant for public opinion, information operations, and social-media dynamics."
44,GA-S3: Comprehensive Social Network Simulation with Group Agents,2025,Multi-agent and social simulation,Social network simulation; group agents; collective behavior,Group agent inside social-network simulation,Comprehensive social-network simulation with collective agents,Association for Computational Linguistics findings paper,Important,No,https://aclanthology.org/2025.findings-acl.468.pdf,Useful because geopolitical and governance actors are often collective rather than individual.
45,Large Language Models as agents for augmented democracy,2024,"Governance, democracy, policy, and political influence",Democracy; civic participation; governance,"Democratic participation aid, preference summarizer, and civic agent",Augmented democracy and participatory governance with large language models,Philosophical Transactions of the Royal Society A,Important,No,https://royalsocietypublishing.org/rsta/article/382/2285/20240100/108429/Large-language-models-LLMs-as-agents-for-augmented,Key for participatory governance and collective decision-making applications.
46,Sci2Pol: Evaluating and Fine-tuning LLMs on Scientific-to-Policy Brief Generation,2025,"Governance, democracy, policy, and political influence",Science policy; policy brief generation; public administration,Policy brief generator and scientific evidence translator,Scientific-to-policy brief generation and evaluation,arXiv preprint,Important,No,https://arxiv.org/abs/2509.21493,Useful for policy decision support and evidence-to-policy workflows.
47,Biased LLMs can Influence Political Decision-Making,2025,"Governance, democracy, policy, and political influence",Political decision-making; persuasion; bias; governance risk,Interactive advisor or persuasive political system,Effects of biased language model outputs on human political decisions,Association for Computational Linguistics long paper,Important,No,https://aclanthology.org/2025.acl-long.328/,"Important for governance risk, model bias, and human decision influence."
48,"Large Language Models Can Argue in Convincing Ways About Politics, But Humans Dislike AI Authors: Implications for Governance",2024 or 2025,"Governance, democracy, policy, and political influence",Political persuasion; governance; public communication,Political argument generator and persuasion system,Persuasiveness of AI-generated political arguments and reactions to AI authorship,Political communication / governance research listing,Important,No,https://collaborate.princeton.edu/en/publications/large-language-models-can-argue-in-convincing-ways-about-politics/,Useful for political persuasion and disclosure-related governance questions.
49,Large language models reflect the ideology of their creators,2025,"Governance, democracy, policy, and political influence",Model ideology; political bias; cross-national governance,Object of ideology and bias audit,"Political descriptions, model creator influence, regional and ideological differences",Nature Machine Intelligence,Important,No,https://www.nature.com/articles/s44387-025-00048-0,Important for cross-national model governance and ideological bias auditing.
50,Political Actor Agent: Simulating Legislative Politics with LLM Agents,2024,"Governance, democracy, policy, and political influence",Legislative politics; political actors; roll-call prediction,Legislative actor agent and vote predictor,Simulation of legislative politics and roll-call decisions,arXiv preprint,Important,No,https://arxiv.org/abs/2412.07144,Useful example of modeling political actors under institutional constraints.
51,LegiGPT: Party Politics and Transport Policy with Large Language Model,2025,"Governance, democracy, policy, and political influence",Legislative analysis; party politics; transport policy,Policy and legislative text analyst with explainability support,Party politics and transport policy analysis,arXiv preprint,Optional,No,https://arxiv.org/abs/2506.16692,Narrower applied case for legislative policy analysis.
52,Large-Scale Longitudinal Study of LLMs During the 2024 United States Election Season,2025,"Governance, democracy, policy, and political influence",Elections; model behavior over time; political information quality,Object of longitudinal audit during an election cycle,"Temporal changes in model outputs, information quality, and political behavior during the 2024 United States election season",arXiv preprint,Optional / Important,No,https://arxiv.org/abs/2509.18446,Useful for election-cycle audits and model behavior drift.
