source_round,source_rank,source_title,source_year,source_category,source_score,source_citationCount,source_seed_hit_count,source_paperId,status,citation_count,reference_count,related_count,error
round2,32,Responsible Innovation: A Strategic Framework for Financial LLM Integration,2025,Trading and investment,47.08,10,7,3a48e315facb5115eacea25faf2cc32caa01d53b,ok,10,68,78,
round2,33,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",2025,Financial agents,46.96,5,6,a5a80a83cf865a0f854332b02ec26353d436c036,ok,5,0,5,
round2,34,Dólares or Dollars? Unraveling the Bilingual Prowess of Financial LLMs Between Spanish and English,2024,Benchmarks and datasets,46.86,16,8,16c6af5ba8989a70c84567549effd2fd7932d2ec,ok,16,45,61,
round2,35,From Scores to Skills: A Cognitive Diagnosis Framework for Evaluating Financial Large Language Models,2025,Benchmarks and datasets,46.60,3,9,ba13b3744678596741204a69dd337360d52cd85d,ok,3,54,57,
round2,36,Financial Report Chunking for Effective Retrieval Augmented Generation,2024,"Reports, filings, and risk",46.30,70,8,c072d217732edb066de2192ab9ad6b02aec9c7a0,ok,70,46,116,
round2,37,AlphaFin: Benchmarking Financial Analysis with Retrieval-Augmented Stock-Chain Framework,2024,Trading and investment,45.88,68,7,3a6bdf724da556ca534a9786b7a9f3f0adc567f7,ok,68,27,95,
round2,38,A Comprehensive Review of Generative AI in Finance,2024,"Reports, filings, and risk",45.86,33,9,bc2dc0afd73c3a39ea750f48a7a5ee98178c48e6,ok,33,100,133,
round2,39,FinGPT: Instruction Tuning Benchmark for Open-Source Large Language Models in Financial Datasets,2023,"Reports, filings, and risk",45.81,113,7,bd09391fbd124dc0c0a6be5d0ab2eb5d9c43fbac,ok,113,39,152,
round2,40,FinChain: A Symbolic Benchmark for Verifiable Chain-of-Thought Financial Reasoning,2025,Benchmarks and datasets,45.80,9,9,7efaf134965a957bedc73a60a0083699fd791e16,ok,9,69,78,
round2,41,Evaluating Financial Intelligence in Large Language Models: Benchmarking SuperInvesting AI with LLM Engines,2026,Trading and investment,45.80,1,8,a64372654025158c2cbb49dd6194c17e967256f0,ok,1,34,35,
round2,42,TAT-LLM: A Specialized Language Model for Discrete Reasoning over Financial Tabular and Textual Data,2024,"Reports, filings, and risk",45.66,26,7,b714baccfd4997ef6c14cbff3d8b4921493d7446,ok,26,0,26,
round2,43,FinBloom: Knowledge Grounding Large Language Model with Real-time Financial Data,2025,Financial agents,45.05,2,7,fc21838d747b1b51bc8ef7022e3652d4407263d9,ok,2,74,76,
round2,44,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? A Study on Several Typical Tasks,2023,Benchmarks and datasets,44.92,114,7,f377b99a5f77ef94c736912dbdfe4108f4b22b69,ok,114,35,149,
round2,45,Enhancing Financial Sentiment Analysis via Retrieval Augmented Large Language Models,2023,Trading and investment,44.67,191,6,1b860394dfec26d9c350889006e37fe56731f77e,ok,191,36,227,
round2,46,FinLlama: Financial Sentiment Classification for Algorithmic Trading Applications,2024,Trading and investment,44.55,29,6,15b0a6ccb198b2936e36266be992da78a29953fd,ok,29,24,53,
