id,priority,primary_category,title,short_name,approx_year,paper_type,primary_relevance,key_use_for_systematic_survey,source_url,notes
22,P0,Long-Context Financial Reasoning,"DocFinQA: A Long-Context Financial Reasoning Dataset","DocFinQA",2024,Dataset / Benchmark,"Long-context reasoning over full SEC reports","Use to test full-document retrieval and reasoning over long SEC reports.","https://arxiv.org/html/2401.06915v2","Expands local financial question answering to complete report context."
23,P0,Financial QA / RAG,"FinanceBench: A New Benchmark for Financial Question Answering","FinanceBench",2023,Benchmark,"Open-book financial question answering","Use to evaluate Retrieval-Augmented Generation systems over public company filings.","https://arxiv.org/abs/2311.11944","Includes questions, answers, and supporting evidence strings."
24,P1,SEC Filing QA,"SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings","SEC-QA",2024,Benchmark,"Long-context question answering over SEC filings","Use to evaluate long-context QA and reduce contamination via renewable benchmark generation.","https://arxiv.org/html/2406.14394v1","Semi-automatic question-answer generation from recent filings."
25,P1,SEC Filing QA,"SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings","SECQUE",2025,Benchmark,"Expert SEC filing QA","Use to evaluate comparison analysis, ratio calculation, risk assessment, and insight generation.","https://arxiv.org/abs/2504.04596","Includes expert-authored questions and SECQUE-Judge evaluation."
26,P1,Financial Reasoning,"FinanceReasoning: A Financial Benchmark for Large Reasoning Models","FinanceReasoning",2025,Benchmark,"Financial benchmark for reasoning models","Use to test whether reasoning models can perform financial calculations and explanations.","https://arxiv.org/html/2506.05828","Includes updated public tasks and new questions with Python solutions."
27,P1,Business / Financial Reasoning,"BizBench: A Quantitative Reasoning Benchmark for Business and Finance","BizBench",2024,Benchmark,"Quantitative reasoning in business and finance","Use to evaluate program synthesis, quantity extraction, and domain reasoning.","https://aclanthology.org/2024.acl-long.452.pdf","Connects financial reasoning with business analytics."
28,P1,Financial Data Analysis,"FinDABench: Benchmarking Financial Data Analysis Ability of Large Language Models","FinDABench",2024,Benchmark,"Financial data analysis ability","Use to evaluate calculation, sentiment and risk, abnormal report detection, analysis generation, and visualization.","https://arxiv.org/abs/2401.02982","Useful for end-to-end financial analyst workflow evaluation."
29,P0,SEC Filing Analytics,"Fin-RATE: Financial Report Analytics and Tracking Evaluation for Large Language Models","Fin-RATE",2026,Benchmark,"SEC filing analytics and tracking","Use to evaluate detail reasoning, cross-entity comparison, and longitudinal tracking over filings.","https://arxiv.org/abs/2602.07294","Important for realistic analyst workflow over multiple companies and periods."
30,P0,XBRL / Financial Reports,"XBRL Agent: Leveraging Large Language Models for Financial Report Analysis","XBRL Agent",2024,Agent / Framework,"LLM analysis of XBRL financial reports","Use to study tool-augmented XBRL analysis with retrieval and calculators.","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4993495","Highlights limitations in financial domain knowledge and mathematical calculation."
31,P0,XBRL / Taxonomy Alignment,"FinTagging: A Full-Scope Table-Aware XBRL Tagging Benchmark with LLMs","FinTagging",2025,Benchmark,"Table-aware XBRL tagging and US GAAP taxonomy alignment","Use to evaluate entity extraction and taxonomy-driven concept alignment.","https://arxiv.org/abs/2505.20650","Shows fine-grained XBRL concept alignment remains difficult."
32,P1,SEC Risk Extraction,"Taxonomy-Aligned Risk Extraction from 10-K Filings","Taxonomy-Aligned Risk Extraction",2026,Framework / Benchmark,"Structured risk extraction from 10-K filings","Use for risk-factor extraction, taxonomy mapping, and evidence quote validation.","https://arxiv.org/abs/2601.15247","Relevant to risk factor maps and compliance-grade evidence trails."
33,P1,Risk Quantification,"Quantifying Material Risks from Textual Disclosures in Financial Statements using Large Language Model Agents","Quantifying Material Risks",2025,Agent / Risk Analysis,"Material risk quantification from disclosures","Use for climate, physical, operational, and disclosure-risk quantification workflows.","https://www.bis.org/ifc/publ/ifcb65_09_rh.pdf","Connects textual disclosures to measurable risk analytics."
34,P0,Financial Statement Analysis,"Financial Statement Analysis with Large Language Models","FSA with LLMs",2024,Empirical Study,"LLMs for earnings-direction prediction from financial statements","Use to study whether LLMs can infer future earnings direction from accounting statements.","https://arxiv.org/abs/2407.17866","Major paper on GPT-4 financial-statement reasoning and trading signal construction."
35,P1,News-Based Return Prediction,"Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models","ChatGPT Return Predictability",2023,Empirical Study,"News headline interpretation and return predictability","Use as the canonical paper for LLM-generated news signals predicting daily returns.","https://arxiv.org/abs/2304.07619","Important for event-driven and news sentiment alpha studies."
36,P1,Equity Ratings,"AI in Investment Analysis: Large Language Models for Equity Stock Ratings","LLMs for Equity Stock Ratings",2024,Empirical Study,"Equity rating generation from multimodal investment data","Use to study combined fundamental, market, and news data for stock ratings.","https://arxiv.org/abs/2411.00856","Attempts to reduce leakage by using post-cutoff data."
37,P0,Trading Agent,"FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design","FinMem",2023,Agent,"Memory-based LLM trading agent","Use to study profiling, layered memory, and decision-making in trading agents.","https://arxiv.org/abs/2311.13743","Early influential LLM trading agent architecture."
38,P0,Multi-Agent Trading,"TradingAgents: Multi-Agents Large Language Models for Financial Trading","TradingAgents",2024,Agent / Framework,"Multi-agent trading research workflow","Use to study simulated investment teams with fundamental, sentiment, technical, trader, researcher, and risk roles.","https://arxiv.org/abs/2412.20138","Relevant to agentic investment committee workflows."
39,P0,Financial Agent Benchmark,"InvestorBench: A Benchmark for Large Language Model Agents in Financial Decision-Making","InvestorBench",2024,Benchmark,"Financial decision-making benchmark for LLM agents","Use to evaluate agent decisions across stocks, cryptocurrency, and exchange-traded funds.","https://arxiv.org/abs/2412.18174","Important for measuring investment agents beyond static QA."
40,P1,Trading Benchmark,"StockBench: Can Large Language Models Beat the Stock Market?","StockBench",2025,Benchmark,"LLM agents in market trading settings","Use to test realistic sequential decision-making and contamination-free trading evaluation.","https://arxiv.org/html/2510.02209v2","Useful for checking whether LLM trading conclusions survive stricter evaluation."
41,P1,LLM Investment Strategies,"Can LLM-Based Financial Investing Strategies Outperform?","LLM Investing Strategies",2025,Empirical Study,"LLM-based market timing and investment strategies","Use to analyze regime dependence and risk-control failures in LLM strategies.","https://arxiv.org/abs/2505.07078","Highlights bull-market and bear-market behavior issues."
42,P1,Fundamental + Technical Trading,"FinTradeBench: A Comprehensive Benchmark for Fundamental and Technical Analysis in Financial Trading","FinTradeBench",2026,Benchmark,"Fundamental and technical analysis benchmark for trading","Use to jointly evaluate regulatory filing analysis, price dynamics, and hybrid trading questions.","https://arxiv.org/abs/2603.19225","Useful for comparing RAG benefits across fundamental and technical tasks."
43,P1,Financial Time-Series LM,"StockGPT: A GenAI Model for Stock Prediction and Trading","StockGPT",2024,Model,"Autoregressive language-model framing for stock return sequences","Use to study LLM-like modeling of market time-series data rather than only natural language.","https://arxiv.org/abs/2404.05101","Represents tokenized return sequence modeling for stock prediction."
44,P1,Portfolio Optimization,"Decision-Informed Neural Networks with Large Language Model Integration for Portfolio Optimization","Decision-Informed Portfolio Optimization",2025,Method,"Decision-focused portfolio optimization with LLM integration","Use to connect forecasting objectives to portfolio decision quality.","https://ideas.repec.org/p/arx/papers/2502.00828.html","Important distinction between prediction accuracy and portfolio utility."
45,P1,Sector Allocation,"Leveraging Large Language Models for Top-Down Sector Allocation","LLMs for Sector Allocation",2025,Empirical Study,"Top-down sector allocation with LLMs","Use for sector strategy and industry-report style research.","https://arxiv.org/html/2503.09647v5","Complements bottom-up stock selection papers."
46,P2,Multimodal Stock Prediction,"The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT over Multimodal Stock Movement Prediction Challenges","The Wall Street Neophyte",2023,Empirical Study,"Zero-shot multimodal stock movement prediction","Use as a skeptical baseline showing limits of zero-shot LLM stock prediction.","https://arxiv.org/abs/2304.05351","Useful counterweight to overly optimistic trading papers."
47,P2,Investment Bias,"Your AI, Not Your View: The Bias of Large Language Models in Investment Analysis","Your AI, Not Your View",2025,Empirical Study,"Model bias in investment analysis","Use to study sector, size, momentum, and model-specific biases in investment outputs.","https://arxiv.org/html/2507.20957v4","Relevant for governance and investment-style bias auditing."
48,P2,Institutional Investment,"Leveraging Large Language Models for Institutional Investment Management","LLMs for Institutional Investment Management",2024,Empirical Study,"LLMs for institutional multi-asset management","Use to study portfolio management over stocks, bonds, and macro indicators.","https://arxiv.org/abs/2411.19515","Relevant to multi-asset allocation and institutional workflows."
49,P0,Equity Research / Valuation Agent,"FinRobot: AI Agent for Equity Research and Valuation with Large Language Models","FinRobot Equity Research",2024,Agent / Framework,"Equity research and valuation agent","Use to study multi-agent chain-of-thought workflows for research reports, valuation, thesis, and risk analysis.","https://arxiv.org/abs/2411.08804","Core paper for equity research automation."
50,P0,Financial Agent Platform,"FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models","FinRobot Platform",2024,Agent Platform,"Open-source financial AI agent platform","Use to study platform architecture, LLMOps, DataOps, and financial agent layers.","https://arxiv.org/abs/2405.14767","Platform version of the FinRobot research program."
51,P0,Equity Research Report Structure,"The Structure of Financial Equity Research Reports","Equity Research Report Structure",2024,Empirical Study,"Structure and automatable components of equity research reports","Use to estimate which parts of equity research reports can be automated from text and databases.","https://arxiv.org/abs/2407.18327","Important for decomposing report generation into extraction, database lookup, and human judgment."
52,P0,Financial Report Generation,"FinRpt: Financial Report Understanding and Generation Benchmark","FinRpt",2025,Benchmark,"Equity research report understanding and generation","Use to benchmark financial report generation and understanding.","https://arxiv.org/html/2511.07322v1","Directly relevant to industry and equity research report generation."
53,P1,Investment Report Generation,"Task-Adaptive Large Language Models to Generate Human-Persuasive Investment Reports","Task-Adaptive Investment Reports",2025,Method / Evaluation,"Human-persuasive investment report generation","Use to evaluate whether generated investment reports influence or assist human decision-making.","https://aclanthology.org/2025.finnlp-2.23.pdf","Focuses on persuasion and task adaptation rather than only automatic text metrics."
54,P1,Conversational Stock Analysis,"FinSphere: A Conversational Stock Analysis Agent based on Large Language Models","FinSphere",2025,Agent / Benchmark,"Conversational stock analysis agent","Use to study stock-analysis conversation, quantitative tools, databases, report generation, and AnalyScore-style evaluation.","https://arxiv.org/abs/2501.12399","Includes Stocksis dataset and stock analysis report generation."
55,P1,Financial Assistant Benchmark,"Finance Agent Benchmark: Evaluating Language Model Agents as Financial Assistants","Finance Agent Benchmark",2025,Benchmark,"Expert financial assistant benchmark","Use to evaluate agents on realistic financial consulting questions from banking, hedge fund, and private equity contexts.","https://arxiv.org/abs/2508.00828","Requires recent SEC filing use and expert-authored tasks."
56,P1,Professional Financial Knowledge,"A Preliminary Look at the State of the Art of Large Language Models on Chartered Financial Analyst Exams","LLMs on CFA Exams Preliminary",2024,Evaluation,"LLMs on Chartered Financial Analyst exams","Use to evaluate professional financial knowledge across CFA exam levels.","https://aclanthology.org/2024.emnlp-industry.80/","Useful for baseline professional competence evaluation."
57,P1,Professional Financial Reasoning,"Advanced Financial Reasoning at Scale: Large Language Models on Chartered Financial Analyst Level III","LLMs on CFA Level III",2025,Evaluation,"Advanced financial reasoning on CFA Level III","Use to evaluate essay and multiple-choice reasoning for portfolio management and professional finance topics.","https://arxiv.org/abs/2507.02954","Compares reasoning methods such as Chain of Thought and Self-Discover."
58,P1,Professional Financial Knowledge / RAG,"Can Large Language Models Tackle the Chartered Financial Analyst Exam?","LLMs and CFA Exam",2025,Evaluation,"CFA exam performance with and without Retrieval-Augmented Generation","Use to study professional finance knowledge and the value of official-curriculum retrieval.","https://arxiv.org/abs/2509.04468","Uses official mock exam questions across CFA Levels I to III."
