index,signature,source_title,source_year,source_domain,source_tag,status,resolved_source_paperId,resolved_source_title,citation_count,reference_count,related_count,output_csv,error
11,11,FinBen: A Holistic Financial Benchmark for Large Language Models,2024,Financial Benchmark,P0,ok,b39aba9b515723745c994aa0fbd80a566c268282,FinBen: A Holistic Financial Benchmark for Large Language Models,143,99,242,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0011_11_finben_a_holistic_financial_benchmark_for_large_language_models_related_work.csv,
12,12,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,2023,Chinese Financial Benchmark,P1,ok,3b88526a0f0337e3a6b632b4af8fd0882eb4b470,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,63,54,117,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0012_12_fineval_a_chinese_financial_domain_knowledge_evaluation_benchmark_for_large_lang_related_work.csv,
13,13,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,2024,Bilingual Financial Benchmark,P1,ok,f1e78cbc32483be5f2671eebf09ac20cd4ff1b71,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,5,82,87,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0013_13_golden_touchstone_a_comprehensive_bilingual_benchmark_for_evaluating_financial_l_related_work.csv,
14,14,FLaME: A Holistic Benchmark for Financial Language Models,2025,Financial Benchmark,P1,ok,dafde7eb19eac992cf11b8112db5c60ecde13e8f,Finance Language Model Evaluation (FLaME),1,97,98,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0014_14_flame_a_holistic_benchmark_for_financial_language_models_related_work.csv,
15,15,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",2023,Chinese Financial LLM,P1,ok,aafae4730b1add0b3e243e011db9ac87428f83cd,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",82,34,116,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0015_15_bbt_fin_comprehensive_construction_of_chinese_financial_domain_pre_trained_langu_related_work.csv,
16,16,Large Language Model Evaluation on Financial Benchmarks,2024,Financial Benchmark,P2,ok,2ec007ea7c7cbe881006e2a9f85c70b898146392,FLAME: Financial Large-Language Model Assessment and Metrics Evaluation,7,8,15,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0016_16_large_language_model_evaluation_on_financial_benchmarks_related_work.csv,
17,17,FLAME: Financial Large Language Model Evaluation System in Chinese,2025,Chinese Financial Benchmark,P2,ok,2ec007ea7c7cbe881006e2a9f85c70b898146392,FLAME: Financial Large-Language Model Assessment and Metrics Evaluation,7,8,15,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0017_17_flame_financial_large_language_model_evaluation_system_in_chinese_related_work.csv,
18,18,FinQA: A Dataset of Numerical Reasoning over Financial Data,2021,Financial Numerical Reasoning,P0,ok,99053e3a708fc27709c9dab33110dc98b187c158,FinQA: A Dataset of Numerical Reasoning over Financial Data,648,44,692,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0018_18_finqa_a_dataset_of_numerical_reasoning_over_financial_data_related_work.csv,
19,19,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,2021,Table-Text Financial QA,P0,ok,b3213c84a6ff7a2f11099de783c93166e4fc02a4,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,500,41,541,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0019_19_tat_qa_a_question_answering_benchmark_on_a_hybrid_of_tabular_and_textual_content_related_work.csv,
20,20,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,2022,Conversational Financial QA,P0,ok,d96997265f8146e93b4c9350f19d55e46d1317f0,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,226,32,258,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0020_20_convfinqa_exploring_the_chain_of_numerical_reasoning_in_conversational_finance_q_related_work.csv,
21,21,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,2022,Financial Table-Text Reasoning,P0,ok,0b7e9b6b588baa3f24fdde06feec26a067aa74bd,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,168,66,234,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0021_21_multihiertt_numerical_reasoning_over_multi_hierarchical_tabular_and_textual_data_related_work.csv,
22,22,DocFinQA: A Long-Context Financial Reasoning Dataset,2024,Long-Context Financial Reasoning,P0,ok,fd2cb81c01d9ab51c78de69b53f8b337775e290c,DocFinQA: A Long-Context Financial Reasoning Dataset,61,41,102,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0022_22_docfinqa_a_long_context_financial_reasoning_dataset_related_work.csv,
23,23,FinanceBench: A New Benchmark for Financial Question Answering,2023,Financial QA / RAG,P0,ok,89ed7fd00319d45269906a9b05e10c8680bf9cec,FinanceBench: A New Benchmark for Financial Question Answering,208,38,246,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0023_23_financebench_a_new_benchmark_for_financial_question_answering_related_work.csv,
24,24,SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,2024,SEC Filing QA,P1,ok,d5897329d6190dba0d8f4c35f7bdfe984cdfe6d4,SEC-QA: A Systematic Evaluation Corpus for Financial QA,15,44,59,supplemental_from_seed_metadata,
25,25,SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings,2025,SEC Filing QA,P1,ok,12aa8a6c911f03f20bb1604b78d6891a46acee10,SECQUE: A Benchmark for Evaluating Real-World Financial Analysis Capabilities,6,27,33,supplemental_from_seed_metadata,
26,26,FinanceReasoning: A Financial Benchmark for Large Reasoning Models,2025,Financial Reasoning,P1,ok,81aaa1957bda923c3cff3e76b4283fc07a01baf7,"FinanceReasoning: Benchmarking Financial Numerical Reasoning More Credible, Comprehensive and Challenging",17,31,48,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0026_26_financereasoning_a_financial_benchmark_for_large_reasoning_models_related_work.csv,
27,27,BizBench: A Quantitative Reasoning Benchmark for Business and Finance,2024,Business / Financial Reasoning,P1,ok,df15b83986207d884a811ce572dcedb6654abc6f,BizBench: A Quantitative Reasoning Benchmark for Business and Finance,27,48,75,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0027_27_bizbench_a_quantitative_reasoning_benchmark_for_business_and_finance_related_work.csv,
28,28,FinDABench: Benchmarking Financial Data Analysis Ability of Large Language Models,2024,Financial Data Analysis,P1,ok,82e6b69cb50123a8b05fa3c562fcd91eca0cd454,FinDABench: Benchmarking Financial Data Analysis Ability of Large Language Models,12,23,35,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0028_28_findabench_benchmarking_financial_data_analysis_ability_of_large_language_models_related_work.csv,
29,29,Fin-RATE: Financial Report Analytics and Tracking Evaluation for Large Language Models,2026,SEC Filing Analytics,P0,ok,d835a07d58fe4d878a103ee55a3f13e213d34244,Fin-RATE: A Real-world Financial Analytics and Tracking Evaluation Benchmark for LLMs on SEC Filings,2,50,52,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0029_29_fin_rate_financial_report_analytics_and_tracking_evaluation_for_large_language_m_related_work.csv,
30,30,XBRL Agent: Leveraging Large Language Models for Financial Report Analysis,2024,XBRL / Financial Reports,P0,ok,e0f9dd441c150700817157ab58f08a770309d7a5,XBRL Agent: Leveraging Large Language Models for Financial Report Analysis,17,0,17,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0030_30_xbrl_agent_leveraging_large_language_models_for_financial_report_analysis_related_work.csv,
31,31,FinTagging: A Full-Scope Table-Aware XBRL Tagging Benchmark with LLMs,2025,XBRL / Taxonomy Alignment,P0,ok,5d05ef163ef270b9eabe80e9633e281f05097080,FinTagging: An LLM-ready Benchmark for Extracting and Structuring Financial Information,11,0,11,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0031_31_fintagging_a_full_scope_table_aware_xbrl_tagging_benchmark_with_llms_related_work.csv,
32,32,Taxonomy-Aligned Risk Extraction from 10-K Filings,2026,SEC Risk Extraction,P1,ok,f106cb49628970f5dd02b374bed0201ff24b2af8,Taxonomy-Aligned Risk Extraction from 10-K Filings with Autonomous Improvement Using LLMs,0,25,25,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0032_32_taxonomy_aligned_risk_extraction_from_10_k_filings_related_work.csv,
33,33,Quantifying Material Risks from Textual Disclosures in Financial Statements using Large Language Model Agents,2025,Risk Quantification,P1,error,,,,,,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0033_33_quantifying_material_risks_from_textual_disclosures_in_financial_statements_usin_related_work.csv,No paper found for title query: Quantifying Material Risks from Textual Disclosures in Financial Statements using Large Language Model Agents
34,34,Financial Statement Analysis with Large Language Models,2024,Financial Statement Analysis,P0,ok,77f2e8dc258600dea936c8356770dd0bdc478252,Financial Statement Analysis with Large Language Models,70,0,70,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0034_34_financial_statement_analysis_with_large_language_models_related_work.csv,
35,35,Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models,2023,News-Based Return Prediction,P1,ok,d26c55bee1ac6856a20862b0f7b4ff38fa39af50,Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models,312,55,367,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0035_35_can_chatgpt_forecast_stock_price_movements_return_predictability_and_large_langu_related_work.csv,
36,36,AI in Investment Analysis: Large Language Models for Equity Stock Ratings,2024,Equity Ratings,P1,ok,84c19da4f76fedb40faf515d6d65d387323743f6,AI in Investment Analysis: LLMs for Equity Stock Ratings,14,41,55,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0036_36_ai_in_investment_analysis_large_language_models_for_equity_stock_ratings_related_work.csv,
37,37,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,2023,Trading Agent,P0,ok,eb34bd715e3a7c68477ec0824ebb171b948b80c2,FinMem: A Performance-Enhanced LLM Trading Agent With Layered Memory and Character Design,177,56,233,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0037_37_finmem_a_performance_enhanced_large_language_model_trading_agent_with_layered_me_related_work.csv,
38,38,TradingAgents: Multi-Agents Large Language Models for Financial Trading,2024,Multi-Agent Trading,P0,ok,e3dd4964c07c914a0ccca2e2f3ed6410f8a86a6a,TradingAgents: Multi-Agents LLM Financial Trading Framework,139,72,211,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0038_38_tradingagents_multi_agents_large_language_models_for_financial_trading_related_work.csv,
39,39,InvestorBench: A Benchmark for Large Language Model Agents in Financial Decision-Making,2024,Financial Agent Benchmark,P0,ok,74e898dbf4a82980d600828f6ffcb6cd1c4d1522,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,39,41,80,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0039_39_investorbench_a_benchmark_for_large_language_model_agents_in_financial_decision__related_work.csv,
40,40,StockBench: Can Large Language Models Beat the Stock Market?,2025,Trading Benchmark,P1,ok,30a0ed9ea36d6928b94a7ffdc9db2ebc1c88f75a,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,15,54,69,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0040_40_stockbench_can_large_language_models_beat_the_stock_market_related_work.csv,
41,41,Can LLM-Based Financial Investing Strategies Outperform?,2025,LLM Investment Strategies,P1,ok,6d6354a0168e3d91c539032c28793ceb77f8092c,Can LLM-based Financial Investing Strategies Outperform the Market in Long Run?,14,75,89,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0041_41_can_llm_based_financial_investing_strategies_outperform_related_work.csv,
42,42,FinTradeBench: A Comprehensive Benchmark for Fundamental and Technical Analysis in Financial Trading,2026,Fundamental + Technical Trading,P1,ok,829170decaccd4dffc6e10275cd4a0b053e386e2,FinTradeBench: A Financial Reasoning Benchmark for LLMs,2,59,61,supplemental_from_seed_metadata,
43,43,StockGPT: A GenAI Model for Stock Prediction and Trading,2024,Financial Time-Series LM,P1,ok,47b5630c5b8407f0b07047ee21e41664dd102ab9,StockGPT: A GenAI Model for Stock Prediction and Trading,17,30,47,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0043_43_stockgpt_a_genai_model_for_stock_prediction_and_trading_related_work.csv,
44,44,Decision-Informed Neural Networks with Large Language Model Integration for Portfolio Optimization,2025,Portfolio Optimization,P1,ok,1cf03388dbcef225e17f8d6f5c071dd306676880,Decision-informed Neural Networks with Large Language Model Integration for Portfolio Optimization,12,66,78,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0044_44_decision_informed_neural_networks_with_large_language_model_integration_for_port_related_work.csv,
45,45,Leveraging Large Language Models for Top-Down Sector Allocation,2025,Sector Allocation,P1,ok,7e7ef7cab6ac823a798207557ea17b530445e5dc,Leveraging LLMS for Top-Down Sector Allocation In Automated Trading,3,41,44,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0045_45_leveraging_large_language_models_for_top_down_sector_allocation_related_work.csv,
46,46,The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT over Multimodal Stock Movement Prediction Challenges,2023,Multimodal Stock Prediction,P2,ok,ef4cb88b1635b34af15059567dfdf134f79797aa,The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT Over MultiModal Stock Movement Prediction Challenges,77,25,102,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0046_46_the_wall_street_neophyte_a_zero_shot_analysis_of_chatgpt_over_multimodal_stock_m_related_work.csv,
47,47,"Your AI, Not Your View: The Bias of Large Language Models in Investment Analysis",2025,Investment Bias,P2,ok,8ce3132d475eeb61ea9f68e593435ef82ad931a0,"Your AI, Not Your View: The Bias of LLMs in Investment Analysis",11,31,42,supplemental_from_seed_metadata,
48,48,Leveraging Large Language Models for Institutional Investment Management,2024,Institutional Investment,P2,ok,9577eb062a07b2b725a46dfcef9da55950bac4e1,Leveraging Large Language Models for Institutional Portfolio Management: Persona-Based Ensembles,3,30,33,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0048_48_leveraging_large_language_models_for_institutional_investment_management_related_work.csv,
49,49,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,2024,Equity Research / Valuation Agent,P0,ok,ec5597c94359686cf7df73033913e08da7c54986,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,13,0,13,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0049_49_finrobot_ai_agent_for_equity_research_and_valuation_with_large_language_models_related_work.csv,
50,50,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,2024,Financial Agent Platform,P0,ok,780881ba7440fb95ebc7114d8f219466275102f8,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,41,60,101,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0050_50_finrobot_an_open_source_ai_agent_platform_for_financial_applications_using_large_related_work.csv,
51,51,The Structure of Financial Equity Research Reports,2024,Equity Research Report Structure,P0,ok,083b831a2e2feffa27500339636bbdd09347e8d0,Impact of equity structure on risk of financial distress in Vietnam,0,1,1,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0051_51_the_structure_of_financial_equity_research_reports_related_work.csv,
52,52,FinRpt: Financial Report Understanding and Generation Benchmark,2025,Financial Report Generation,P0,ok,60d168a660c89e1819e12b67a24534c7876000a7,"FinRpt: Dataset, Evaluation System and LLM-based Multi-agent Framework for Equity Research Report Generation",2,43,45,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0052_52_finrpt_financial_report_understanding_and_generation_benchmark_related_work.csv,
53,53,Task-Adaptive Large Language Models to Generate Human-Persuasive Investment Reports,2025,Investment Report Generation,P1,ok,81f5988f187f690d2503ab8fa27d38fa7afd6520,Development of an Automatic Summarization System based on Large Language Models for Annual Report Analysis,0,0,0,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0053_53_task_adaptive_large_language_models_to_generate_human_persuasive_investment_repo_related_work.csv,
54,54,FinSphere: A Conversational Stock Analysis Agent based on Large Language Models,2025,Conversational Stock Analysis,P1,ok,e0cd407e3616fcd96b35e0f0b5c794cf6083d307,FinSphere: A Conversational Stock Analysis Agent Equipped with Quantitative Tools based on Real-Time Database,5,0,5,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0054_54_finsphere_a_conversational_stock_analysis_agent_based_on_large_language_models_related_work.csv,
55,55,Finance Agent Benchmark: Evaluating Language Model Agents as Financial Assistants,2025,Financial Assistant Benchmark,P1,ok,fd97920ead5575d2203d8633fd9aa1073a2d9fd2,Finance Agent Benchmark: Benchmarking LLMs on Real-world Financial Research Tasks,26,24,50,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0055_55_finance_agent_benchmark_evaluating_language_model_agents_as_financial_assistants_related_work.csv,
56,56,A Preliminary Look at the State of the Art of Large Language Models on Chartered Financial Analyst Exams,2024,Professional Financial Knowledge,P1,ok,166fb024ca88ea75fdb4779f1c70e43a27744fcc,The State of the Art of Large Language Models on Chartered Financial Analyst Exams,8,37,45,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0056_56_a_preliminary_look_at_the_state_of_the_art_of_large_language_models_on_chartered_related_work.csv,
57,57,Advanced Financial Reasoning at Scale: Large Language Models on Chartered Financial Analyst Level III,2025,Professional Financial Reasoning,P1,ok,0ad864609ce79a0988148389bd05879e83b59502,Advanced Financial Reasoning at Scale: A Comprehensive Evaluation of Large Language Models on CFA Level III,3,19,22,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0057_57_advanced_financial_reasoning_at_scale_large_language_models_on_chartered_financi_related_work.csv,
58,58,Can Large Language Models Tackle the Chartered Financial Analyst Exam?,2025,Professional Financial Knowledge / RAG,P1,ok,166fb024ca88ea75fdb4779f1c70e43a27744fcc,The State of the Art of Large Language Models on Chartered Financial Analyst Exams,8,37,45,/Users/frederickpi/Downloads/llm_finance_paper_expansion_2026-05-18/per_paper_related_work/0058_58_can_large_language_models_tackle_the_chartered_financial_analyst_exam_related_work.csv,
