id,priority,primary_category,title,short_name,approx_year,paper_type,primary_relevance,key_use_for_systematic_survey,source_url,notes,resolved_paperId,resolved_title,resolved_year,citationCount,influentialCitationCount,venue,authors,doi,arxiv,semantic_scholar_url,publicationDate,publicationTypes,openAccessPdf,abstract,resolution_method,resolution_error
11,P0,Financial Benchmark,FinBen: A Holistic Financial Benchmark for Large Language Models,FinBen,2024,Benchmark,Holistic financial LLM evaluation,"Use as a central benchmark covering extraction, text analysis, question answering, generation, risk, forecasting, and decision-making.",https://arxiv.org/abs/2402.12659,"Also relevant for agent, stock trading, and Retrieval-Augmented Generation evaluation.",b39aba9b515723745c994aa0fbd80a566c268282,FinBen: A Holistic Financial Benchmark for Large Language Models,2024,143,6,Neural Information Processing Systems,Qianqian Xie; Weiguang Han; Zhengyu Chen; Ruoyu Xiang; Xiao Zhang; Yueru He; Mengxi Xiao; Dong Li; Yongfu Dai; Duanyu Feng; Yijing Xu; Haoqiang Kang; Zi-Zhou Kuang; Chenhan Yuan; Kailai Yang; Zheheng Luo; Tianlin Zhang; Zhiwei Liu; Guojun Xiong; Zhiyang Deng; Yuechen Jiang; Zhiyuan Yao; Haohang Li; Yangyang Yu; Gang Hu; Jiajia Huang; Xiao-Yang Liu; Alejandro Lopez-Lira; Benyou Wang; Yanzhao Lai; Hao Wang; Min Peng; Sophia Ananiadou; Jimin Huang,10.52202/079017-3033,2402.12659,https://www.semanticscholar.org/paper/b39aba9b515723745c994aa0fbd80a566c268282,2024-02-20,JournalArticle,,"LLMs have transformed NLP and shown promise in various fields, yet their potential in finance is underexplored due to a lack of comprehensive evaluation benchmarks, the rapid development of LLMs, and the complexity of financial tasks. In this paper, we introduce FinBen, the first extensive open-source evaluation benchmark, including 36 datasets spanning 24 financial tasks, covering seven critical aspects: information extraction (IE), textual analysis, question answering (QA), text generation, risk management, forecasting, and decision-making. FinBen offers several key innovations: a broader range of tasks and datasets, the first evaluation of stock trading, novel agent and Retrieval-Augmented Generation (RAG) evaluation, and three novel open-source evaluation datasets for text summarization, question answering, and stock trading. Our evaluation of 15 representative LLMs, including GPT-4, ChatGPT, and the latest Gemini, reveals several key findings: While LLMs excel in IE and textual analysis, they struggle with advanced reasoning and complex tasks like text generation and forecasting. GPT-4 excels in IE and stock trading, while Gemini is better at text generation and forecasting. Instruction-tuned LLMs improve textual analysis but offer limited benefits for complex tasks such as QA. FinBen has been used to host the first financial LLMs shared task at the FinNLP-AgentScen workshop during IJCAI-2024, attracting 12 teams. Their novel solutions outperformed GPT-4, showcasing FinBen's potential to drive innovation in financial LLMs. All datasets, results, and codes are released for the research community: https://github.com/The-FinAI/PIXIU.",arxiv,
12,P1,Chinese Financial Benchmark,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,FinEval,2023,Benchmark,Chinese financial-domain knowledge evaluation,Use for Chinese financial LLM evaluation.,https://arxiv.org/abs/2308.09975,"Contains Chinese finance questions across academic, industry, security, and agent domains.",3b88526a0f0337e3a6b632b4af8fd0882eb4b470,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,2023,63,4,North American Chapter of the Association for Computational Linguistics,Liwen Zhang; Wei Cai; Zhaowei Liu; Zhi Yang; Wei Dai; Yujie Liao; Qi Qin; Yifei Li; Xingxian Liu; Zhiqiang Liu; Zhoufan Zhu; Anbo Wu; Xin Guo; Yun Chen,10.48550/arXiv.2308.09975,2308.09975,https://www.semanticscholar.org/paper/3b88526a0f0337e3a6b632b4af8fd0882eb4b470,2023-08-19,JournalArticle; Conference,https://arxiv.org/pdf/2308.09975,"Large language models have demonstrated outstanding performance in various natural language processing tasks, but their security capabilities in the financial domain have not been explored, and their performance on complex tasks like financial agent remains unknown. This paper presents FinEval, a benchmark designed to evaluate LLMs' financial domain knowledge and practical abilities. The dataset contains 8,351 questions categorized into four different key areas: Financial Academic Knowledge, Financial Industry Knowledge, Financial Security Knowledge, and Financial Agent. Financial Academic Knowledge comprises 4,661 multiple-choice questions spanning 34 subjects such as finance and economics. Financial Industry Knowledge contains 1,434 questions covering practical scenarios like investment research. Financial Security Knowledge assesses models through 1,640 questions on topics like application security and cryptography. Financial Agent evaluates tool usage and complex reasoning with 616 questions. FinEval has multiple evaluation settings, including zero-shot, five-shot with chain-of-thought, and assesses model performance using objective and subjective criteria. Our results show that Claude 3.5-Sonnet achieves the highest weighted average score of 72.9 across all financial domain categories under zero-shot setting. Our work provides a comprehensive benchmark closely aligned with Chinese financial domain.",arxiv,
13,P1,Bilingual Financial Benchmark,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,Golden Touchstone,2024,Benchmark,Bilingual financial LLM evaluation,Use for cross-lingual English-Chinese financial evaluation.,https://arxiv.org/html/2411.06272v1,Useful for cross-market and multilingual financial LLM studies.,f1e78cbc32483be5f2671eebf09ac20cd4ff1b71,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,2024,5,0,Conference on Empirical Methods in Natural Language Processing,Xiaojun Wu; Junxi Liu; Huan-Yi Su; Zhouchi Lin; Yiyan Qi; Chengjin Xu; Jiajun Su; Jiajie Zhong; Fuwei Wang; Sai Wang; Fengrui Hua; Jia Li; Jian Guo,10.18653/v1/2025.findings-emnlp.1227,2411.06272,https://www.semanticscholar.org/paper/f1e78cbc32483be5f2671eebf09ac20cd4ff1b71,2024-11-09,JournalArticle; Conference,,"As large language models (LLMs) increasingly permeate the financial sector, there is a pressing need for a standardized method to comprehensively assess their performance. Existing financial benchmarks often suffer from limited language and task coverage, low-quality datasets, and inadequate adaptability for LLM evaluation. To address these limitations, we introduce Golden Touchstone, a comprehensive bilingual benchmark for financial LLMs, encompassing eight core financial NLP tasks in both Chinese and English. Developed from extensive open-source data collection and industry-specific demands, this benchmark thoroughly assesses models'language understanding and generation capabilities. Through comparative analysis of major models such as GPT-4o, Llama3, FinGPT, and FinMA, we reveal their strengths and limitations in processing complex financial information. Additionally, we open-source Touchstone-GPT, a financial LLM trained through continual pre-training and instruction tuning, which demonstrates strong performance on the bilingual benchmark but still has limitations in specific tasks. This research provides a practical evaluation tool for financial LLMs and guides future development and optimization. The source code for Golden Touchstone and model weight of Touchstone-GPT have been made publicly available at https://github.com/IDEA-FinAI/Golden-Touchstone.",arxiv,
14,P1,Financial Benchmark,FLaME: A Holistic Benchmark for Financial Language Models,FLaME,2025,Benchmark,Holistic financial language model evaluation,Use for comparing foundation models across core financial NLP tasks.,https://arxiv.org/abs/2506.15846,Evaluates many models over financial tasks.,dafde7eb19eac992cf11b8112db5c60ecde13e8f,Finance Language Model Evaluation (FLaME),2025,1,0,arXiv.org,Glenn Scott Matlin; Mika Okamoto; Huzaifa Pardawala; Yang Yang; S. Chava,10.48550/arXiv.2506.15846,2506.15846,https://www.semanticscholar.org/paper/dafde7eb19eac992cf11b8112db5c60ecde13e8f,2025-06-18,JournalArticle,,"Language Models (LMs) have demonstrated impressive capabilities with core Natural Language Processing (NLP) tasks. The effectiveness of LMs for highly specialized knowledge-intensive tasks in finance remains difficult to assess due to major gaps in the methodologies of existing evaluation frameworks, which have caused an erroneous belief in a far lower bound of LMs'performance on common Finance NLP (FinNLP) tasks. To demonstrate the potential of LMs for these FinNLP tasks, we present the first holistic benchmarking suite for Financial Language Model Evaluation (FLaME). We are the first research paper to comprehensively study LMs against'reasoning-reinforced'LMs, with an empirical study of 23 foundation LMs over 20 core NLP tasks in finance. We open-source our framework software along with all data and results.",arxiv,
15,P1,Chinese Financial LLM,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",BBT-Fin,2023,Model / Corpus / Benchmark,"Chinese financial pretraining, corpus, and benchmark",Use for Chinese financial corpus construction and pretraining methodology.,https://arxiv.org/abs/2302.09432,Includes large Chinese financial corpus and benchmark.,aafae4730b1add0b3e243e011db9ac87428f83cd,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",2023,82,20,arXiv.org,Dakuan Lu; Jiaqing Liang; Yipei Xu; Qi He; Yipeng Geng; Meng Han; Ying Xin; Hengkui Wu; Yanghua Xiao,10.48550/arXiv.2302.09432,2302.09432,https://www.semanticscholar.org/paper/aafae4730b1add0b3e243e011db9ac87428f83cd,2023-02-18,JournalArticle,http://arxiv.org/pdf/2302.09432,"To advance Chinese financial natural language processing (NLP), we introduce BBT-FinT5, a new Chinese financial pre-training language model based on the T5 model. To support this effort, we have built BBT-FinCorpus, a large-scale financial corpus with approximately 300GB of raw text from four different sources. In general domain NLP, comprehensive benchmarks like GLUE and SuperGLUE have driven significant advancements in language model pre-training by enabling head-to-head comparisons among models. Drawing inspiration from these benchmarks, we propose BBT-CFLEB, a Chinese Financial Language understanding and generation Evaluation Benchmark, which includes six datasets covering both understanding and generation tasks. Our aim is to facilitate research in the development of NLP within the Chinese financial domain. Our model, corpus and benchmark are released at https://github.com/ssymmetry/BBT-FinCUGE-Applications. Our work belongs to the Big Bang Transformer (BBT), a large-scale pre-trained language model project.",arxiv,
16,P2,Financial Benchmark,Large Language Model Evaluation on Financial Benchmarks,IBM Financial Benchmark Evaluation,2024,Evaluation,Financial benchmark comparison across models and languages,Use for model comparison beyond US-only English benchmarks.,https://research.ibm.com/publications/large-language-model-evaluation-on-financial-benchmarks,Includes English and Japanese financial benchmark discussion.,2ec007ea7c7cbe881006e2a9f85c70b898146392,FLAME: Financial Large-Language Model Assessment and Metrics Evaluation,2025,7,1,arXiv.org,Jiayu Guo; Yu Guo; Margaret Li; Songtao Tan,10.48550/arXiv.2501.06211,2501.06211,https://www.semanticscholar.org/paper/2ec007ea7c7cbe881006e2a9f85c70b898146392,2025-01-03,JournalArticle; Review,,"LLMs have revolutionized NLP and demonstrated potential across diverse domains. More and more financial LLMs have been introduced for finance-specific tasks, yet comprehensively assessing their value is still challenging. In this paper, we introduce FLAME, a comprehensive financial LLMs evaluation system in Chinese, which includes two core evaluation benchmarks: FLAME-Cer and FLAME-Sce. FLAME-Cer covers 14 types of authoritative financial certifications, including CPA, CFA, and FRM, with a total of approximately 16,000 carefully selected questions. All questions have been manually reviewed to ensure accuracy and representativeness. FLAME-Sce consists of 10 primary core financial business scenarios, 21 secondary financial business scenarios, and a comprehensive evaluation set of nearly 100 tertiary financial application tasks. We evaluate 6 representative LLMs, including GPT-4o, GLM-4, ERNIE-4.0, Qwen2.5, XuanYuan3, and the latest Baichuan4-Finance, revealing Baichuan4-Finance excels other LLMs in most tasks. By establishing a comprehensive and professional evaluation system, FLAME facilitates the advancement of financial LLMs in Chinese contexts. Instructions for participating in the evaluation are available on GitHub: https://github.com/FLAME-ruc/FLAME.",title_top_result,
17,P2,Chinese Financial Benchmark,FLAME: Financial Large Language Model Evaluation System in Chinese,FLAME Chinese Evaluation,2025,Benchmark / Evaluation System,Chinese financial LLM evaluation system,Use as supplementary Chinese financial evaluation resource.,https://arxiv.org/abs/2501.06211,Includes certification-style and scenario-style tests.,2ec007ea7c7cbe881006e2a9f85c70b898146392,FLAME: Financial Large-Language Model Assessment and Metrics Evaluation,2025,7,1,arXiv.org,Jiayu Guo; Yu Guo; Margaret Li; Songtao Tan,10.48550/arXiv.2501.06211,2501.06211,https://www.semanticscholar.org/paper/2ec007ea7c7cbe881006e2a9f85c70b898146392,2025-01-03,JournalArticle; Review,,"LLMs have revolutionized NLP and demonstrated potential across diverse domains. More and more financial LLMs have been introduced for finance-specific tasks, yet comprehensively assessing their value is still challenging. In this paper, we introduce FLAME, a comprehensive financial LLMs evaluation system in Chinese, which includes two core evaluation benchmarks: FLAME-Cer and FLAME-Sce. FLAME-Cer covers 14 types of authoritative financial certifications, including CPA, CFA, and FRM, with a total of approximately 16,000 carefully selected questions. All questions have been manually reviewed to ensure accuracy and representativeness. FLAME-Sce consists of 10 primary core financial business scenarios, 21 secondary financial business scenarios, and a comprehensive evaluation set of nearly 100 tertiary financial application tasks. We evaluate 6 representative LLMs, including GPT-4o, GLM-4, ERNIE-4.0, Qwen2.5, XuanYuan3, and the latest Baichuan4-Finance, revealing Baichuan4-Finance excels other LLMs in most tasks. By establishing a comprehensive and professional evaluation system, FLAME facilitates the advancement of financial LLMs in Chinese contexts. Instructions for participating in the evaluation are available on GitHub: https://github.com/FLAME-ruc/FLAME.",arxiv,
18,P0,Financial Numerical Reasoning,FinQA: A Dataset of Numerical Reasoning over Financial Data,FinQA,2021,Dataset / Benchmark,Financial numerical reasoning over reports,Use as the foundational benchmark for multi-step numerical reasoning over financial reports.,https://arxiv.org/abs/2109.00122,Includes expert-labeled question-answer pairs and gold reasoning programs.,99053e3a708fc27709c9dab33110dc98b187c158,FinQA: A Dataset of Numerical Reasoning over Financial Data,2021,648,114,Conference on Empirical Methods in Natural Language Processing,Zhiyu Chen; Wenhu Chen; Charese Smiley; Sameena Shah; Iana Borova; Dylan Langdon; Reema Moussa; Matthew I. Beane; Ting-Hao 'Kenneth' Huang; Bryan R. Routledge; W. Wang,10.18653/v1/2021.emnlp-main.300,2109.00122,https://www.semanticscholar.org/paper/99053e3a708fc27709c9dab33110dc98b187c158,2021-09-01,JournalArticle; Conference,https://aclanthology.org/2021.emnlp-main.300.pdf,"The sheer volume of financial statements makes it difficult for humans to access and analyze a business’s financials. Robust numerical reasoning likewise faces unique challenges in this domain. In this work, we focus on answering deep questions over financial data, aiming to automate the analysis of a large corpus of financial documents. In contrast to existing tasks on general domain, the finance domain includes complex numerical reasoning and understanding of heterogeneous representations. To facilitate analytical progress, we propose a new large-scale dataset, FinQA, with Question-Answering pairs over Financial reports, written by financial experts. We also annotate the gold reasoning programs to ensure full explainability. We further introduce baselines and conduct comprehensive experiments in our dataset. The results demonstrate that popular, large, pre-trained models fall far short of expert humans in acquiring finance knowledge and in complex multi-step numerical reasoning on that knowledge. Our dataset – the first of its kind – should therefore enable significant, new community research into complex application domains. The dataset and code are publicly available at https://github.com/czyssrs/FinQA.",arxiv,
19,P0,Table-Text Financial QA,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,TAT-QA,2021,Dataset / Benchmark,Hybrid table-text financial question answering,Use to evaluate reasoning over both financial tables and narrative text.,https://arxiv.org/abs/2105.07624,"Tests operations such as addition, subtraction, division, sorting, and counting.",b3213c84a6ff7a2f11099de783c93166e4fc02a4,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,2021,500,88,Annual Meeting of the Association for Computational Linguistics,Fengbin Zhu; Wenqiang Lei; Youcheng Huang; Chao Wang; Shuo Zhang; Jiancheng Lv; Fuli Feng; Tat-seng Chua,10.18653/v1/2021.acl-long.254,2105.07624,https://www.semanticscholar.org/paper/b3213c84a6ff7a2f11099de783c93166e4fc02a4,2021-05-17,JournalArticle; Conference,https://aclanthology.org/2021.acl-long.254.pdf,"Hybrid data combining both tabular and textual content (e.g., financial reports) are quite pervasive in the real world. However, Question Answering (QA) over such hybrid data is largely neglected in existing research. In this work, we extract samples from real financial reports to build a new large-scale QA dataset containing both Tabular And Textual data, named TAT-QA, where numerical reasoning is usually required to infer the answer, such as addition, subtraction, multiplication, division, counting, comparison/sorting, and the compositions. We further propose a novel QA model termed TAGOP, which is capable of reasoning over both tables and text. It adopts sequence tagging to extract relevant cells from the table along with relevant spans from the text to infer their semantics, and then applies symbolic reasoning over them with a set of aggregation operators to arrive at the final answer. TAGOP achieves 58.0% inF1, which is an 11.1% absolute increase over the previous best baseline model, according to our experiments on TAT-QA. But this result still lags far behind performance of expert human, i.e.90.8% in F1. It is demonstrated that our TAT-QA is very challenging and can serve as a benchmark for training and testing powerful QA models that address hybrid form data.",arxiv,
20,P0,Conversational Financial QA,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,ConvFinQA,2022,Dataset / Benchmark,Conversational financial numerical reasoning,Use to evaluate analyst-style follow-up questions over financial reports.,https://arxiv.org/abs/2210.03849,Extends financial reasoning into multi-turn conversation.,d96997265f8146e93b4c9350f19d55e46d1317f0,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,2022,226,31,Conference on Empirical Methods in Natural Language Processing,Zhiyu Chen; SHIYANG LI; Charese Smiley; Zhiqiang Ma; Sameena Shah; William Yang Wang,10.48550/arXiv.2210.03849,2210.03849,https://www.semanticscholar.org/paper/d96997265f8146e93b4c9350f19d55e46d1317f0,2022-10-07,JournalArticle; Conference,http://arxiv.org/pdf/2210.03849,"With the recent advance in large pre-trained language models, researchers have achieved record performances in NLP tasks that mostly focus on language pattern matching. The community is experiencing the shift of the challenge from how to model language to the imitation of complex reasoning abilities like human beings. In this work, we investigate the application domain of finance that involves real-world, complex numerical reasoning. We propose a new large-scale dataset, ConvFinQA, aiming to study the chain of numerical reasoning in conversational question answering. Our dataset poses great challenge in modeling long-range, complex numerical reasoning paths in real-world conversations. We conduct comprehensive experiments and analyses with both the neural symbolic methods and the prompting-based methods, to provide insights into the reasoning mechanisms of these two divisions. We believe our new dataset should serve as a valuable resource to push forward the exploration of real-world, complex reasoning tasks as the next research focus. Our dataset and code is publicly available at https://github.com/czyssrs/ConvFinQA.",arxiv,
21,P0,Financial Table-Text Reasoning,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,MultiHiertt,2022,Dataset / Benchmark,Multi-hierarchical table-text numerical reasoning,Use for more realistic complex report reasoning over hierarchical tables and text.,https://arxiv.org/abs/2206.01347,Important for filings with multiple tables and hierarchical structure.,0b7e9b6b588baa3f24fdde06feec26a067aa74bd,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,2022,168,22,Annual Meeting of the Association for Computational Linguistics,Yilun Zhao; Yunxiang Li; Chenying Li; Rui Zhang,10.18653/v1/2022.acl-long.454,2206.01347,https://www.semanticscholar.org/paper/0b7e9b6b588baa3f24fdde06feec26a067aa74bd,2022-06-03,JournalArticle; Conference,https://aclanthology.org/2022.acl-long.454.pdf,"Numerical reasoning over hybrid data containing both textual and tabular content (e.g., financial reports) has recently attracted much attention in the NLP community. However, existing question answering (QA) benchmarks over hybrid data only include a single flat table in each document and thus lack examples of multi-step numerical reasoning across multiple hierarchical tables. To facilitate data analytical progress, we construct a new large-scale benchmark, MultiHiertt, with QA pairs over Multi Hierarchical Tabular and Textual data. MultiHiertt is built from a wealth of financial reports and has the following unique characteristics: 1) each document contain multiple tables and longer unstructured texts; 2) most of tables contained are hierarchical; 3) the reasoning process required for each question is more complex and challenging than existing benchmarks; and 4) fine-grained annotations of reasoning processes and supporting facts are provided to reveal complex numerical reasoning. We further introduce a novel QA model termed MT2Net, which first applies facts retrieving to extract relevant supporting facts from both tables and text and then uses a reasoning module to perform symbolic reasoning over retrieved facts. We conduct comprehensive experiments on various baselines. The experimental results show that MultiHiertt presents a strong challenge for existing baselines whose results lag far behind the performance of human experts. The dataset and code are publicly available at https://github.com/psunlpgroup/MultiHiertt.",arxiv,
22,P0,Long-Context Financial Reasoning,DocFinQA: A Long-Context Financial Reasoning Dataset,DocFinQA,2024,Dataset / Benchmark,Long-context reasoning over full SEC reports,Use to test full-document retrieval and reasoning over long SEC reports.,https://arxiv.org/html/2401.06915v2,Expands local financial question answering to complete report context.,fd2cb81c01d9ab51c78de69b53f8b337775e290c,DocFinQA: A Long-Context Financial Reasoning Dataset,2024,61,1,Annual Meeting of the Association for Computational Linguistics,Varshini Reddy; Rik Koncel-Kedziorski; V. Lai; Michael Krumdick; Chris Tanner,10.48550/arXiv.2401.06915,2401.06915,https://www.semanticscholar.org/paper/fd2cb81c01d9ab51c78de69b53f8b337775e290c,2024-01-12,JournalArticle; Conference,,"For large language models (LLMs) to be effective in the financial domain -- where each decision can have a significant impact -- it is necessary to investigate realistic tasks and data. Financial professionals often interact with documents that are hundreds of pages long, but most financial research datasets only deal with short excerpts from these documents. To address this, we introduce a long-document financial QA task. We augment 7,437 questions from the existing FinQA dataset with the full-document context, extending the average context length from under 700 words in FinQA to 123k words in DocFinQA. We conduct extensive experiments over retrieval-based QA pipelines and long-context language models. DocFinQA proves a significant challenge for even state-of-the-art systems. We also provide a case-study on the longest documents in DocFinQA and find that models particularly struggle on these documents. Addressing these challenges may have a wide reaching impact across applications where specificity and long-range contexts are critical, like gene sequences and legal document contract analysis.",arxiv,
23,P0,Financial QA / RAG,FinanceBench: A New Benchmark for Financial Question Answering,FinanceBench,2023,Benchmark,Open-book financial question answering,Use to evaluate Retrieval-Augmented Generation systems over public company filings.,https://arxiv.org/abs/2311.11944,"Includes questions, answers, and supporting evidence strings.",89ed7fd00319d45269906a9b05e10c8680bf9cec,FinanceBench: A New Benchmark for Financial Question Answering,2023,208,33,arXiv.org,Pranab Islam; Anand Kannappan; Douwe Kiela; Rebecca Qian; Nino Scherrer; Bertie Vidgen,10.48550/arXiv.2311.11944,2311.11944,https://www.semanticscholar.org/paper/89ed7fd00319d45269906a9b05e10c8680bf9cec,2023-11-20,JournalArticle; Review,,"FinanceBench is a first-of-its-kind test suite for evaluating the performance of LLMs on open book financial question answering (QA). It comprises 10,231 questions about publicly traded companies, with corresponding answers and evidence strings. The questions in FinanceBench are ecologically valid and cover a diverse set of scenarios. They are intended to be clear-cut and straightforward to answer to serve as a minimum performance standard. We test 16 state of the art model configurations (including GPT-4-Turbo, Llama2 and Claude2, with vector stores and long context prompts) on a sample of 150 cases from FinanceBench, and manually review their answers (n=2,400). The cases are available open-source. We show that existing LLMs have clear limitations for financial QA. Notably, GPT-4-Turbo used with a retrieval system incorrectly answered or refused to answer 81% of questions. While augmentation techniques such as using longer context window to feed in relevant evidence improve performance, they are unrealistic for enterprise settings due to increased latency and cannot support larger financial documents. We find that all models examined exhibit weaknesses, such as hallucinations, that limit their suitability for use by enterprises.",arxiv,
24,P1,SEC Filing QA,SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,SEC-QA,2024,Benchmark,Long-context question answering over SEC filings,Use to evaluate long-context QA and reduce contamination via renewable benchmark generation.,https://arxiv.org/html/2406.14394v1,Semi-automatic question-answer generation from recent filings.,d5897329d6190dba0d8f4c35f7bdfe984cdfe6d4,SEC-QA: A Systematic Evaluation Corpus for Financial QA,2024,15,0,Proceedings of The 10th Workshop on Financial Technology and Natural Language Processing,V. Lai; Michael Krumdick; Charles Lovering; Varshini Reddy; Craig W. Schmidt; Chris Tanner,10.48550/arXiv.2406.14394,2406.14394,https://www.semanticscholar.org/paper/d5897329d6190dba0d8f4c35f7bdfe984cdfe6d4,2024-06-20,JournalArticle,,"The financial domain frequently deals with large numbers of long documents that are essential for daily operations. Significant effort is put towards automating financial data analysis. However, a persistent challenge, not limited to the finance domain, is the scarcity of datasets that accurately reflect real-world tasks for model evaluation. Existing datasets are often constrained by size, context, or relevance to practical applications. Moreover, LLMs are currently trained on trillions of tokens of text, limiting access to novel data or documents that models have not encountered during training for unbiased evaluation. We propose SEC-QA, a continuous dataset generation framework with two key features: 1) the semi-automatic generation of Question-Answer (QA) pairs spanning multiple long context financial documents, which better represent real-world financial scenarios; 2) the ability to continually refresh the dataset using the most recent public document collections, not yet ingested by LLMs. Our experiments show that current retrieval augmented generation methods systematically fail to answer these challenging multi-document questions. In response, we introduce a QA system based on program-of-thought that improves the ability to perform complex information retrieval and quantitative reasoning pipelines, thereby increasing QA accuracy.",arxiv,
25,P1,SEC Filing QA,SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings,SECQUE,2025,Benchmark,Expert SEC filing QA,"Use to evaluate comparison analysis, ratio calculation, risk assessment, and insight generation.",https://arxiv.org/abs/2504.04596,Includes expert-authored questions and SECQUE-Judge evaluation.,12aa8a6c911f03f20bb1604b78d6891a46acee10,SECQUE: A Benchmark for Evaluating Real-World Financial Analysis Capabilities,2025,6,0,arXiv.org,Noga Ben Yoash; Meni Brief; O. Ovadia; Gil Shenderovitz; Moshik Mishaeli; Rachel Lemberg; Eitam Sheetrit,10.48550/arXiv.2504.04596,2504.04596,https://www.semanticscholar.org/paper/12aa8a6c911f03f20bb1604b78d6891a46acee10,2025-04-06,JournalArticle,,"We introduce SECQUE, a comprehensive benchmark for evaluating large language models (LLMs) in financial analysis tasks. SECQUE comprises 565 expert-written questions covering SEC filings analysis across four key categories: comparison analysis, ratio calculation, risk assessment, and financial insight generation. To assess model performance, we develop SECQUE-Judge, an evaluation mechanism leveraging multiple LLM-based judges, which demonstrates strong alignment with human evaluations. Additionally, we provide an extensive analysis of various models'performance on our benchmark. By making SECQUE publicly available, we aim to facilitate further research and advancements in financial AI.",arxiv,
