paper_key,title,status,url,error
are-chatgpt-and-gpt-4-general-purpose-solvers-for-financial-text-analyti-70e58df2c4,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? An Examination on Several Typical Tasks,downloaded,https://arxiv.org/pdf/2305.05862.pdf,
comparative-investigation-of-gpt-and-finbert-s-sentiment-analysis-perfor-b85e848450,Comparative Investigation of GPT and FinBERT’s Sentiment Analysis Performance in News Across Different Sectors,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
large-language-models-for-financial-knowledge-extraction-analytical-insi-254521eadd,Large Language Models for Financial Knowledge Extraction Analytical Insights and Corporate Planning Support,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
ai-agents-in-finance-and-fintech-a-scientific-review-of-agent-based-syst-fb0323c9e1,"AI Agents in Finance and Fintech: A Scientific Review of Agent-Based Systems, Applications, and Future Horizons",downloaded,https://cdn.techscience.cn/files/cmc/2025/TSP_CMC-86-1/TSP_CMC_69678/TSP_CMC_69678.pdf,
bloated-disclosures-can-chatgpt-help-investors-process-information-a77a9fd42c,Bloated Disclosures: Can ChatGPT Help Investors Process Information?,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
cryptotrade-a-reflective-llm-based-agent-to-guide-zero-shot-cryptocurren-e5f1944e43,CryptoTrade: A Reflective LLM-based Agent to Guide Zero-shot Cryptocurrency Trading,downloaded,https://aclanthology.org/2024.emnlp-main.63.pdf,
advancing-innovation-in-financial-stability-a-comprehensive-review-of-ai-0f5b946e4b,"Advancing innovation in financial stability: A comprehensive review of ai agent frameworks, challenges and applications",downloaded,https://wjaets.com/sites/default/files/fulltext_pdf/WJAETS-2025-0071.pdf,
gpt-s-idea-of-stock-factors-2c1250c515,GPT's idea of stock factors,not_found,,not_pdf
forecasting-the-s-p-500-index-using-mathematical-based-sentiment-analysi-241e9db48f,Forecasting the S&P 500 Index Using Mathematical-Based Sentiment Analysis and Deep Learning Models: A FinBERT Transformer Model and LSTM,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
optimized-financial-planning-integrating-individual-and-cooperative-budg-efb44d46ad,Optimized Financial Planning: Integrating Individual and Cooperative Budgeting Models with LLM Recommendations,downloaded,https://zaguan.unizar.es/record/145276/files/texto_completo.pdf,
an-evaluation-of-reasoning-capabilities-of-large-language-models-in-fina-d4cde45903,An Evaluation of Reasoning Capabilities of Large Language Models in Financial Sentiment Analysis,not_found,,not_pdf
risklabs-predicting-financial-risk-using-large-language-model-based-on-m-8a16d38723,RiskLabs: Predicting Financial Risk Using Large Language Model Based on Multi-Sources Data,downloaded,https://arxiv.org/pdf/2404.07452.pdf,
can-chatgpt-improve-investment-decisions-from-a-portfolio-management-per-8c028e1263,Can ChatGPT improve investment decisions? From a portfolio management perspective,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
alera-an-entropy-based-llm-multi-agent-framework-for-dynamic-risk-quanti-3b9e8f2d22,ALERA: An Entropy-Based LLM Multi-Agent Framework for Dynamic Risk Quantification in Quantitative Investing,not_found,,not_pdf
fallmas-an-llm-based-multi-agent-system-for-automated-financial-analysis-72c30b0e90,FALLMAS: An LLM-Based Multi-Agent System for Automated Financial Analysis and Strategic Reporting,not_found,,not_pdf
agentic-portfolio-construction-a-multi-agent-architecture-for-llm-driven-8817e411b6,Agentic Portfolio Construction: A Multi-Agent Architecture for LLM-Driven Financial Asset Allocation,not_found,,not_pdf
the-recent-history-of-large-language-model-in-investment-and-portfolio-m-815ec66169,The recent history of large language model in investment and portfolio management: is it a revolution in finance?,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
generative-ai-solutions-to-empower-financial-firms-7b4d7ff5c7,Generative AI Solutions to Empower Financial Firms,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
a-comprehensive-review-of-gen-ai-agents-applications-and-frameworks-in-f-a3665baf5a,"A Comprehensive Review of Gen AI Agents: Applications and Frameworks in Finance, Investments and Risk Domains",downloaded,https://philpapers.org/archive/JOSACR.pdf,
forexagent-identifying-trading-strategies-in-forex-markets-with-large-la-7c52cc3ae7,ForexAgent: Identifying Trading Strategies in Forex Markets with Large Language Models,not_found,,not_pdf
mme-finance-a-multimodal-finance-benchmark-for-expert-level-understandin-7181be8102,MME-Finance: A Multimodal Finance Benchmark for Expert-level Understanding and Reasoning,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
from-fiction-to-fact-the-growing-role-of-generative-ai-in-business-and-f-f6fa0bd08e,From fiction to fact: the growing role of generative AI in business and finance,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
investorbench-a-benchmark-for-financial-decision-making-tasks-with-llm-b-b0d07e52a8,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,downloaded,https://aclanthology.org/2025.acl-long.126.pdf,
chain-of-alpha-unleashing-the-power-of-large-language-models-for-alpha-m-a236dde21c,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,not_found,,not_pdf
when-agents-trade-live-multi-market-trading-arena-for-llm-agents-5844c9bed3,When Agents Trade: Live Multi-Market Trading Arena for LLM Agents,downloaded,https://aclanthology.org/2025.findings-emnlp.294.pdf,
from-earnings-calls-to-investment-reports-evaluating-role-based-multi-ag-77c3a9c4bf,From Earnings Calls to Investment Reports: Evaluating Role-based Multi-Agent LLM Systems,downloaded,https://aclanthology.org/2025.finnlp-2.19.pdf,
ecc-analyzer-extract-trading-signal-from-earnings-conference-calls-using-809c134307,ECC Analyzer: Extract Trading Signal from Earnings Conference Calls using Large Language Model for Stock Performance Prediction,downloaded,https://arxiv.org/pdf/2404.18470.pdf,
artificial-intelligence-for-quantitative-finance-a-rag-augmented-multi-a-9402c234c9,Artificial Intelligence for Quantitative Finance: A RAG-Augmented Multi-Agent Framework for Robust Equity Strategy Discovery,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
navigating-complexity-gpt-4-s-performance-in-predicting-earnings-and-sto-6daf810cd4,Navigating Complexity: GPT-4's Performance in Predicting Earnings and Stock Returns in China's A-Share Market,downloaded,https://drpress.org/ojs/index.php/HBEM/article/download/27228/26999,
detecting-semantic-mismatches-in-xbrl-tag-mapping-for-sec-10-k-filings-a-e3e5f9dab0,Detecting Semantic Mismatches in XBRL Tag Mapping for SEC 10-K Filings: A Text Comparison and Historical Consistency Analysis,downloaded,https://ciajournal.com/index.php/jcia/article/download/73/68,
advancing-retrieval-augmented-generation-for-financial-question-answerin-eaba5a19d0,Advancing Retrieval-Augmented Generation for Financial Question Answering,not_found,,not_pdf
language-models-fine-tuning-for-automatic-format-reconstruction-of-sec-f-980f49f777,Language Models Fine-Tuning for Automatic Format Reconstruction of SEC Financial Filings,downloaded,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10445214.pdf,
fin-rag-a-rag-system-for-financial-documents-63b537dab8,Fin-Rag A Rag System for Financial Documents,downloaded,https://www.ijisrt.com/assets/upload/files/IJISRT25APR1147.pdf,
evaluating-retrieval-augmented-generation-models-for-financial-report-qu-eb30aee092,Evaluating Retrieval-Augmented Generation Models for Financial Report Question and Answering,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
model-risk-management-in-finance-the-role-of-agentic-systems-in-risk-mit-62a62850d9,Model Risk Management in Finance: The Role of Agentic Systems in Risk Mitigation,not_found,,not_pdf
can-chatgpt-plan-your-retirement-generative-ai-and-financial-advice-fe53d5a2c5,Can ChatGPT Plan Your Retirement?: Generative AI and Financial Advice,downloaded,https://hdsr.mitpress.mit.edu/pub/jnml28pl/download/pdf,
llm-based-intelligent-risk-identification-for-smes-a-comparative-study-o-03fda78cdf,LLM-Based Intelligent Risk Identification for SMEs: A Comparative Study of Prompt Engineering Strategies,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
a-review-on-large-language-models-and-generative-ai-in-banking-aaa1033c28,A Review on Large Language Models and Generative AI in Banking,not_found,,not_pdf
equity-research-chatbot-using-llm-a-responsive-agent-for-investment-rese-62c7836f21,Equity Research Chatbot Using LLM: A Responsive Agent for Investment Research,not_found,,not_pdf
benchmarking-large-language-models-for-supply-chain-risk-identification-26e9ef33ea,Benchmarking large language models for supply chain risk identification: an extended evaluation within the LARD-SC framework,downloaded,https://link.springer.com/content/pdf/10.1007/s11761-025-00474-7.pdf,
leveraging-internet-sourced-text-data-for-financial-analytics-in-supply-fa3ce2de9c,Leveraging Internet-Sourced Text Data for Financial Analytics in Supply Chain Finance: A Large Language Model-Enhanced Text Mining Workflow,not_found,,not_pdf
event-identification-for-supply-chain-risk-management-through-news-analy-4a20794423,Event Identification for Supply Chain Risk Management Through News Analysis by Using Large Language Models,downloaded,https://link.springer.com/content/pdf/10.1007/s12626-024-00169-z.pdf,
from-text-to-risk-predicting-repayment-risk-in-supply-chain-finance-with-6c942df360,From text to risk: Predicting repayment risk in supply chain finance with deep learning and large language models,not_found,,not_pdf
measuring-firm-level-supply-chain-risk-using-a-generative-large-language-048119a8e2,Measuring Firm-Level Supply Chain Risk Using A Generative Large Language Model,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
fine-tuning-and-explaining-finbert-for-sector-specific-financial-news-a-760822b07c,Fine-Tuning and Explaining FinBERT for Sector-Specific Financial News: A Reproducible Workflow,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
measuring-climate-risk-with-chatgpt-the-influence-of-firms-market-value-daccfe4963,Measuring climate risk with ChatGPT: the influence of firms market value within supply chains in China,not_found,,not_pdf
measuring-corporate-risk-using-large-language-model-embeddings-evidence-3088a9e92c,Measuring Corporate Risk Using Large Language Model Embeddings: Evidence on Corporate Climate Risk and Supply Chain Restructuring,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
finkg-a-core-financial-knowledge-graph-for-financial-analysis-8de11cf2db,FinKG: A Core Financial Knowledge Graph for Financial Analysis,not_found,,not_pdf
risk-factor-extraction-in-financial-disclosures-via-a-knowledge-graph-en-a4db9144b0,Risk Factor Extraction in Financial Disclosures via a Knowledge Graph-Enhanced Language Model,not_found,,not_pdf
naturekg-an-ontology-and-knowledge-graph-for-nature-finance-with-a-text2-01266529c6,NatureKG: an ontology and knowledge graph for nature finance with a Text2Cypher application,downloaded,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1693843/pdf,
biased-echoes-large-language-models-reinforce-investment-biases-and-incr-a2e943e350,Biased echoes: Large language models reinforce investment biases and increase portfolio risks of private investors,downloaded,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0325459&type=printable,
llm-guided-evolutionary-strategy-generation-for-quantitative-trading-9d73d7b3c1,LLM-Guided Evolutionary Strategy Generation for Quantitative Trading,not_found,,not_pdf
a-multi-agent-approach-to-investor-profiling-using-large-language-models-5767d2a629,A Multi-Agent Approach to Investor Profiling Using Large Language Models,not_found,,not_pdf
application-of-startup-success-prediction-models-and-business-document-e-99fe0000d0,Application of Startup Success Prediction Models and Business Document Extraction Using Large Language Models to Enhance Due Diligence Efficiency,not_found,,not_pdf
chatgpt-as-a-financial-advisor-a-re-examination-626341411b,ChatGPT as a Financial Advisor: A Re-Examination,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
deepfinllm-an-intelligent-financial-advisor-unleashing-strategic-insight-b6ffa7ea56,DeepFinLLM: an intelligent financial advisor unleashing strategic insights with large language models,not_found,,not_pdf
can-large-language-models-effectively-process-and-execute-financial-trad-e23800036d,Can large language models effectively process and execute financial trading instructions?,downloaded,https://static-content.springer.com/esm/art%3A10.1631%2FFITEE.2500285/MediaObjects/11714_2025_2104_MOESM1_ESM.pdf,
can-large-language-models-mine-interpretable-financial-factors-more-effe-ef5b1feec8,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,downloaded,https://aclanthology.org/2024.findings-acl.233.pdf,
abides-towards-high-fidelity-multi-agent-market-simulation-e97d2619be,ABIDES: Towards High-Fidelity Multi-Agent Market Simulation,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
finagent-a-multimodal-foundation-agent-for-financial-trading-data-retrie-1d1979a1f7,"FinAgent: A multimodal foundation agent for financial trading: Data-retrieval data-mining, policy-generation, and trading",downloaded,https://arxiv.org/pdf/2411.08899,
multi-agent-llm-framework-for-formulaic-alpha-generation-and-selection-i-c2185c3965,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Quantitative Trading,not_found,,not_pdf
strategic-complexity-and-behavioral-distortion-retail-investing-under-la-33438497ef,Strategic Complexity and Behavioral Distortion: Retail Investing Under Large Language Model Augmentation,not_found,,not_pdf
factormad-a-multi-agent-debate-framework-based-on-large-language-models-e71d9f2bce,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,not_found,,"curl_exit_22: % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed

  0     0    0     0    0     0      0      0 --:--:-- --:--:--"
