paper_key,title,extract_status,text_path,text_char_count,error
finben-a-holistic-financial-benchmark-for-large-language-models-b292f85d79,FinBen: A Holistic Financial Benchmark for Large Language Models,ok,data/papers/text/finben-a-holistic-financial-benchmark-for-large-language-models-b292f85d79.txt,96684,
fineval-a-chinese-financial-domain-knowledge-evaluation-benchmark-for-la-7c65956361,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,ok,data/papers/text/fineval-a-chinese-financial-domain-knowledge-evaluation-benchmark-for-la-7c65956361.txt,120926,
golden-touchstone-a-comprehensive-bilingual-benchmark-for-evaluating-fin-d3b7e00062,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,ok,data/papers/text/golden-touchstone-a-comprehensive-bilingual-benchmark-for-evaluating-fin-d3b7e00062.txt,64718,
flame-a-holistic-benchmark-for-financial-language-models-d1289e5282,FLaME: A Holistic Benchmark for Financial Language Models,ok,data/papers/text/flame-a-holistic-benchmark-for-financial-language-models-d1289e5282.txt,199339,
bbt-fin-comprehensive-construction-of-chinese-financial-domain-pre-train-91643c7141,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",ok,data/papers/text/bbt-fin-comprehensive-construction-of-chinese-financial-domain-pre-train-91643c7141.txt,38941,
large-language-model-evaluation-on-financial-benchmarks-f6444c3406,Large Language Model Evaluation on Financial Benchmarks,ok,data/papers/text/large-language-model-evaluation-on-financial-benchmarks-f6444c3406.txt,35863,
flame-financial-large-language-model-evaluation-system-in-chinese-f6444c3406,FLAME: Financial Large Language Model Evaluation System in Chinese,ok,data/papers/text/flame-financial-large-language-model-evaluation-system-in-chinese-f6444c3406.txt,35863,
finqa-a-dataset-of-numerical-reasoning-over-financial-data-139db7bdbc,FinQA: A Dataset of Numerical Reasoning over Financial Data,ok,data/papers/text/finqa-a-dataset-of-numerical-reasoning-over-financial-data-139db7bdbc.txt,54834,
tat-qa-a-question-answering-benchmark-on-a-hybrid-of-tabular-and-textual-342547ccbf,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,ok,data/papers/text/tat-qa-a-question-answering-benchmark-on-a-hybrid-of-tabular-and-textual-342547ccbf.txt,47125,
convfinqa-exploring-the-chain-of-numerical-reasoning-in-conversational-f-2ccea88038,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,ok,data/papers/text/convfinqa-exploring-the-chain-of-numerical-reasoning-in-conversational-f-2ccea88038.txt,55160,
multihiertt-numerical-reasoning-over-multi-hierarchical-tabular-and-text-b038f6bd04,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,ok,data/papers/text/multihiertt-numerical-reasoning-over-multi-hierarchical-tabular-and-text-b038f6bd04.txt,57102,
docfinqa-a-long-context-financial-reasoning-dataset-24a9551b38,DocFinQA: A Long-Context Financial Reasoning Dataset,ok,data/papers/text/docfinqa-a-long-context-financial-reasoning-dataset-24a9551b38.txt,55523,
financebench-a-new-benchmark-for-financial-question-answering-864aab2a80,FinanceBench: A New Benchmark for Financial Question Answering,ok,data/papers/text/financebench-a-new-benchmark-for-financial-question-answering-864aab2a80.txt,61285,
sec-qa-a-systematic-benchmark-for-evaluating-long-context-question-answe-8a58c85c92,SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,ok,data/papers/text/sec-qa-a-systematic-benchmark-for-evaluating-long-context-question-answe-8a58c85c92.txt,59884,
secque-a-benchmark-for-evaluating-question-answering-on-sec-filings-53156d5e7b,SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings,ok,data/papers/text/secque-a-benchmark-for-evaluating-question-answering-on-sec-filings-53156d5e7b.txt,61474,
financereasoning-a-financial-benchmark-for-large-reasoning-models-6e9266ef37,FinanceReasoning: A Financial Benchmark for Large Reasoning Models,ok,data/papers/text/financereasoning-a-financial-benchmark-for-large-reasoning-models-6e9266ef37.txt,88861,
bizbench-a-quantitative-reasoning-benchmark-for-business-and-finance-d81473b256,BizBench: A Quantitative Reasoning Benchmark for Business and Finance,ok,data/papers/text/bizbench-a-quantitative-reasoning-benchmark-for-business-and-finance-d81473b256.txt,83023,
findabench-benchmarking-financial-data-analysis-ability-of-large-languag-10954bef35,FinDABench: Benchmarking Financial Data Analysis Ability of Large Language Models,ok,data/papers/text/findabench-benchmarking-financial-data-analysis-ability-of-large-languag-10954bef35.txt,66442,
fin-rate-financial-report-analytics-and-tracking-evaluation-for-large-la-b0db00db90,Fin-RATE: Financial Report Analytics and Tracking Evaluation for Large Language Models,ok,data/papers/text/fin-rate-financial-report-analytics-and-tracking-evaluation-for-large-la-b0db00db90.txt,181784,
fintagging-a-full-scope-table-aware-xbrl-tagging-benchmark-with-llms-44ac324b91,FinTagging: A Full-Scope Table-Aware XBRL Tagging Benchmark with LLMs,ok,data/papers/text/fintagging-a-full-scope-table-aware-xbrl-tagging-benchmark-with-llms-44ac324b91.txt,79914,
taxonomy-aligned-risk-extraction-from-10-k-filings-0bed83205f,Taxonomy-Aligned Risk Extraction from 10-K Filings,ok,data/papers/text/taxonomy-aligned-risk-extraction-from-10-k-filings-0bed83205f.txt,52364,
quantifying-material-risks-from-textual-disclosures-in-financial-stateme-dedf7a7f63,Quantifying Material Risks from Textual Disclosures in Financial Statements using Large Language Model Agents,ok,data/papers/text/quantifying-material-risks-from-textual-disclosures-in-financial-stateme-dedf7a7f63.txt,44783,
can-chatgpt-forecast-stock-price-movements-return-predictability-and-lar-725fdbb9e8,Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models,ok,data/papers/text/can-chatgpt-forecast-stock-price-movements-return-predictability-and-lar-725fdbb9e8.txt,263242,
ai-in-investment-analysis-large-language-models-for-equity-stock-ratings-07cead13b7,AI in Investment Analysis: Large Language Models for Equity Stock Ratings,ok,data/papers/text/ai-in-investment-analysis-large-language-models-for-equity-stock-ratings-07cead13b7.txt,52998,
finmem-a-performance-enhanced-large-language-model-trading-agent-with-la-9fcba6c5a9,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,ok,data/papers/text/finmem-a-performance-enhanced-large-language-model-trading-agent-with-la-9fcba6c5a9.txt,90955,
tradingagents-multi-agents-large-language-models-for-financial-trading-a26ae2b3cc,TradingAgents: Multi-Agents Large Language Models for Financial Trading,ok,data/papers/text/tradingagents-multi-agents-large-language-models-for-financial-trading-a26ae2b3cc.txt,115167,
investorbench-a-benchmark-for-large-language-model-agents-in-financial-d-146818c76f,InvestorBench: A Benchmark for Large Language Model Agents in Financial Decision-Making,ok,data/papers/text/investorbench-a-benchmark-for-large-language-model-agents-in-financial-d-146818c76f.txt,67860,
stockbench-can-large-language-models-beat-the-stock-market-4424b04a4f,StockBench: Can Large Language Models Beat the Stock Market?,ok,data/papers/text/stockbench-can-large-language-models-beat-the-stock-market-4424b04a4f.txt,46675,
can-llm-based-financial-investing-strategies-outperform-d516499ff8,Can LLM-Based Financial Investing Strategies Outperform?,ok,data/papers/text/can-llm-based-financial-investing-strategies-outperform-d516499ff8.txt,86127,
fintradebench-a-comprehensive-benchmark-for-fundamental-and-technical-an-f880ebadd8,FinTradeBench: A Comprehensive Benchmark for Fundamental and Technical Analysis in Financial Trading,ok,data/papers/text/fintradebench-a-comprehensive-benchmark-for-fundamental-and-technical-an-f880ebadd8.txt,90151,
stockgpt-a-genai-model-for-stock-prediction-and-trading-feeca44536,StockGPT: A GenAI Model for Stock Prediction and Trading,ok,data/papers/text/stockgpt-a-genai-model-for-stock-prediction-and-trading-feeca44536.txt,54197,
decision-informed-neural-networks-with-large-language-model-integration-6e62dbddd3,Decision-Informed Neural Networks with Large Language Model Integration for Portfolio Optimization,ok,data/papers/text/decision-informed-neural-networks-with-large-language-model-integration-6e62dbddd3.txt,105515,
leveraging-large-language-models-for-top-down-sector-allocation-5e10bdb44f,Leveraging Large Language Models for Top-Down Sector Allocation,ok,data/papers/text/leveraging-large-language-models-for-top-down-sector-allocation-5e10bdb44f.txt,45360,
the-wall-street-neophyte-a-zero-shot-analysis-of-chatgpt-over-multimodal-85cfc6303f,The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT over Multimodal Stock Movement Prediction Challenges,ok,data/papers/text/the-wall-street-neophyte-a-zero-shot-analysis-of-chatgpt-over-multimodal-85cfc6303f.txt,44323,
your-ai-not-your-view-the-bias-of-large-language-models-in-investment-an-4d9e553106,"Your AI, Not Your View: The Bias of Large Language Models in Investment Analysis",ok,data/papers/text/your-ai-not-your-view-the-bias-of-large-language-models-in-investment-an-4d9e553106.txt,54904,
leveraging-large-language-models-for-institutional-investment-management-92ad4f3fd5,Leveraging Large Language Models for Institutional Investment Management,ok,data/papers/text/leveraging-large-language-models-for-institutional-investment-management-92ad4f3fd5.txt,46062,
finrobot-ai-agent-for-equity-research-and-valuation-with-large-language-b118b54ec3,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,ok,data/papers/text/finrobot-ai-agent-for-equity-research-and-valuation-with-large-language-b118b54ec3.txt,57008,
finrobot-an-open-source-ai-agent-platform-for-financial-applications-usi-3dbd0bf872,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,ok,data/papers/text/finrobot-an-open-source-ai-agent-platform-for-financial-applications-usi-3dbd0bf872.txt,69464,
the-structure-of-financial-equity-research-reports-3b97f0e6b3,The Structure of Financial Equity Research Reports,ok,data/papers/text/the-structure-of-financial-equity-research-reports-3b97f0e6b3.txt,36308,
finrpt-financial-report-understanding-and-generation-benchmark-7ea8135395,FinRpt: Financial Report Understanding and Generation Benchmark,ok,data/papers/text/finrpt-financial-report-understanding-and-generation-benchmark-7ea8135395.txt,85958,
task-adaptive-large-language-models-to-generate-human-persuasive-investm-d2ec14ee4a,Task-Adaptive Large Language Models to Generate Human-Persuasive Investment Reports,ok,data/papers/text/task-adaptive-large-language-models-to-generate-human-persuasive-investm-d2ec14ee4a.txt,29156,
finsphere-a-conversational-stock-analysis-agent-based-on-large-language-f1609a2ab0,FinSphere: A Conversational Stock Analysis Agent based on Large Language Models,ok,data/papers/text/finsphere-a-conversational-stock-analysis-agent-based-on-large-language-f1609a2ab0.txt,69192,
finance-agent-benchmark-evaluating-language-model-agents-as-financial-as-06b1f297e7,Finance Agent Benchmark: Evaluating Language Model Agents as Financial Assistants,ok,data/papers/text/finance-agent-benchmark-evaluating-language-model-agents-as-financial-as-06b1f297e7.txt,61064,
a-preliminary-look-at-the-state-of-the-art-of-large-language-models-on-c-0af24b97b9,A Preliminary Look at the State of the Art of Large Language Models on Chartered Financial Analyst Exams,ok,data/papers/text/a-preliminary-look-at-the-state-of-the-art-of-large-language-models-on-c-0af24b97b9.txt,50637,
advanced-financial-reasoning-at-scale-large-language-models-on-chartered-a047568415,Advanced Financial Reasoning at Scale: Large Language Models on Chartered Financial Analyst Level III,ok,data/papers/text/advanced-financial-reasoning-at-scale-large-language-models-on-chartered-a047568415.txt,58211,
can-large-language-models-tackle-the-chartered-financial-analyst-exam-3967d3a045,Can Large Language Models Tackle the Chartered Financial Analyst Exam?,ok,data/papers/text/can-large-language-models-tackle-the-chartered-financial-analyst-exam-3967d3a045.txt,63270,
finbert-financial-sentiment-analysis-with-pre-trained-language-models-b1f544d255,FinBERT: Financial Sentiment Analysis with Pre-trained Language Models,ok,data/papers/text/finbert-financial-sentiment-analysis-with-pre-trained-language-models-b1f544d255.txt,54131,
a-multimodal-foundation-agent-for-financial-trading-tool-augmented-diver-b3a4aba865,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",ok,data/papers/text/a-multimodal-foundation-agent-for-financial-trading-tool-augmented-diver-b3a4aba865.txt,183694,
xuanyuan-2-0-a-large-chinese-financial-chat-model-with-hundreds-of-billi-e296750eb0,XuanYuan 2.0: A Large Chinese Financial Chat Model with Hundreds of Billions Parameters,ok,data/papers/text/xuanyuan-2-0-a-large-chinese-financial-chat-model-with-hundreds-of-billi-e296750eb0.txt,19177,
advancing-financial-engineering-with-foundation-models-progress-applicat-7f05bd0639,"Advancing Financial Engineering with Foundation Models: Progress, Applications, and Challenges",ok,data/papers/text/advancing-financial-engineering-with-foundation-models-progress-applicat-7f05bd0639.txt,107362,
investlm-a-large-language-model-for-investment-using-financial-domain-in-e7255c811b,InvestLM: A Large Language Model for Investment using Financial Domain Instruction Tuning,ok,data/papers/text/investlm-a-large-language-model-for-investment-using-financial-domain-in-e7255c811b.txt,42118,
finbert-a-pretrained-language-model-for-financial-communications-b46cb2d7b1,FinBERT: A Pretrained Language Model for Financial Communications,ok,data/papers/text/finbert-a-pretrained-language-model-for-financial-communications-b46cb2d7b1.txt,19584,
revolutionizing-finance-with-llms-an-overview-of-applications-and-insigh-d0c3442f5a,Revolutionizing Finance with LLMs: An Overview of Applications and Insights,ok,data/papers/text/revolutionizing-finance-with-llms-an-overview-of-applications-and-insigh-d0c3442f5a.txt,94469,
towards-competent-ai-for-fundamental-analysis-in-finance-a-benchmark-dat-be4625157a,Towards Competent AI for Fundamental Analysis in Finance: A Benchmark Dataset and Evaluation,ok,data/papers/text/towards-competent-ai-for-fundamental-analysis-in-finance-a-benchmark-dat-be4625157a.txt,53569,
cfgpt-chinese-financial-assistant-with-large-language-model-8d943aecc7,CFGPT: Chinese Financial Assistant with Large Language Model,ok,data/papers/text/cfgpt-chinese-financial-assistant-with-large-language-model-8d943aecc7.txt,59704,
disc-finllm-a-chinese-financial-large-language-model-based-on-multiple-e-154239163e,DISC-FinLLM: A Chinese Financial Large Language Model based on Multiple Experts Fine-tuning,ok,data/papers/text/disc-finllm-a-chinese-financial-large-language-model-based-on-multiple-e-154239163e.txt,65763,
livetradebench-seeking-real-world-alpha-with-large-language-models-477e1211f8,LiveTradeBench: Seeking Real-World Alpha with Large Language Models,ok,data/papers/text/livetradebench-seeking-real-world-alpha-with-large-language-models-477e1211f8.txt,92851,
learning-to-trade-like-an-expert-cognitive-fine-tuning-for-stable-financ-6ccd341b6e,Learning to Trade Like an Expert: Cognitive Fine-Tuning for Stable Financial Reasoning in Language Models,ok,data/papers/text/learning-to-trade-like-an-expert-cognitive-fine-tuning-for-stable-financ-6ccd341b6e.txt,39536,
standard-benchmarks-fail-auditing-llm-agents-in-finance-must-prioritize-1d96c5e908,Standard Benchmarks Fail -- Auditing LLM Agents in Finance Must Prioritize Risk,ok,data/papers/text/standard-benchmarks-fail-auditing-llm-agents-in-finance-must-prioritize-1d96c5e908.txt,137769,
mixing-it-up-the-cocktail-effect-of-multi-task-fine-tuning-on-llm-perfor-c9bf4ec24b,Mixing It Up: The Cocktail Effect of Multi-Task Fine-Tuning on LLM Performance - A Case Study in Finance,ok,data/papers/text/mixing-it-up-the-cocktail-effect-of-multi-task-fine-tuning-on-llm-perfor-c9bf4ec24b.txt,56901,
will-llms-be-professional-at-fund-investment-deepfund-a-live-arena-persp-62580b8ebc,Will LLMs be Professional at Fund Investment? DeepFund: A Live Arena Perspective,ok,data/papers/text/will-llms-be-professional-at-fund-investment-deepfund-a-live-arena-persp-62580b8ebc.txt,28663,
finsearchcomp-towards-a-realistic-expert-level-evaluation-of-financial-s-c8ab3e2ced,"FinSearchComp: Towards a Realistic, Expert-Level Evaluation of Financial Search and Reasoning",ok,data/papers/text/finsearchcomp-towards-a-realistic-expert-level-evaluation-of-financial-s-c8ab3e2ced.txt,97479,
no-language-is-an-island-unifying-chinese-and-english-in-financial-large-ce0eb9b41c,"No Language is an Island: Unifying Chinese and English in Financial Large Language Models, Instruction Data, and Benchmarks",ok,data/papers/text/no-language-is-an-island-unifying-chinese-and-english-in-financial-large-ce0eb9b41c.txt,107210,
finder-financial-dataset-for-question-answering-and-evaluating-retrieval-db2aa48d4b,FinDER: Financial Dataset for Question Answering and Evaluating Retrieval-Augmented Generation,ok,data/papers/text/finder-financial-dataset-for-question-answering-and-evaluating-retrieval-db2aa48d4b.txt,46724,
unlocking-data-value-in-finance-a-study-on-distillation-and-difficulty-a-f6e205e6f6,Unlocking Data Value in Finance: A Study on Distillation and Difficulty-Aware Training,ok,data/papers/text/unlocking-data-value-in-finance-a-study-on-distillation-and-difficulty-a-f6e205e6f6.txt,64514,
fintral-a-family-of-gpt-4-level-multimodal-financial-large-language-mode-70e67bb4c6,FinTral: A Family of GPT-4 Level Multimodal Financial Large Language Models,ok,data/papers/text/fintral-a-family-of-gpt-4-level-multimodal-financial-large-language-mode-70e67bb4c6.txt,94930,
empowering-many-biasing-a-few-generalist-credit-scoring-through-large-la-be1555ff8b,"Empowering Many, Biasing a Few: Generalist Credit Scoring through Large Language Models",ok,data/papers/text/empowering-many-biasing-a-few-generalist-credit-scoring-through-large-la-be1555ff8b.txt,72017,
open-finllms-open-multimodal-large-language-models-for-financial-applica-dc51f97439,Open-FinLLMs: Open Multimodal Large Language Models for Financial Applications,ok,data/papers/text/open-finllms-open-multimodal-large-language-models-for-financial-applica-dc51f97439.txt,107257,
tradinggpt-multi-agent-system-with-layered-memory-and-distinct-character-a75a65d704,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,ok,data/papers/text/tradinggpt-multi-agent-system-with-layered-memory-and-distinct-character-a75a65d704.txt,24761,
time-travel-is-cheating-going-live-with-deepfund-for-real-time-fund-inve-f619d66697,Time Travel is Cheating: Going Live with DeepFund for Real-Time Fund Investment Benchmarking,ok,data/papers/text/time-travel-is-cheating-going-live-with-deepfund-for-real-time-fund-inve-f619d66697.txt,69506,
responsible-innovation-a-strategic-framework-for-financial-llm-integrati-fb710dee05,Responsible Innovation: A Strategic Framework for Financial LLM Integration,ok,data/papers/text/responsible-innovation-a-strategic-framework-for-financial-llm-integrati-fb710dee05.txt,92961,
d-lares-or-dollars-unraveling-the-bilingual-prowess-of-financial-llms-be-27d6e820a6,Dólares or Dollars? Unraveling the Bilingual Prowess of Financial LLMs Between Spanish and English,ok,data/papers/text/d-lares-or-dollars-unraveling-the-bilingual-prowess-of-financial-llms-be-27d6e820a6.txt,55290,
from-scores-to-skills-a-cognitive-diagnosis-framework-for-evaluating-fin-7b9d3f5a89,From Scores to Skills: A Cognitive Diagnosis Framework for Evaluating Financial Large Language Models,ok,data/papers/text/from-scores-to-skills-a-cognitive-diagnosis-framework-for-evaluating-fin-7b9d3f5a89.txt,60794,
financial-report-chunking-for-effective-retrieval-augmented-generation-50d1ad65ad,Financial Report Chunking for Effective Retrieval Augmented Generation,ok,data/papers/text/financial-report-chunking-for-effective-retrieval-augmented-generation-50d1ad65ad.txt,40842,
alphafin-benchmarking-financial-analysis-with-retrieval-augmented-stock-0bc0440539,AlphaFin: Benchmarking Financial Analysis with Retrieval-Augmented Stock-Chain Framework,ok,data/papers/text/alphafin-benchmarking-financial-analysis-with-retrieval-augmented-stock-0bc0440539.txt,40693,
fingpt-instruction-tuning-benchmark-for-open-source-large-language-model-b8be7f3a4f,FinGPT: Instruction Tuning Benchmark for Open-Source Large Language Models in Financial Datasets,ok,data/papers/text/fingpt-instruction-tuning-benchmark-for-open-source-large-language-model-b8be7f3a4f.txt,43538,
finchain-a-symbolic-benchmark-for-verifiable-chain-of-thought-financial-d8b6bc45ef,FinChain: A Symbolic Benchmark for Verifiable Chain-of-Thought Financial Reasoning,ok,data/papers/text/finchain-a-symbolic-benchmark-for-verifiable-chain-of-thought-financial-d8b6bc45ef.txt,105295,
evaluating-financial-intelligence-in-large-language-models-benchmarking-18cb2ccbcc,Evaluating Financial Intelligence in Large Language Models: Benchmarking SuperInvesting AI with LLM Engines,ok,data/papers/text/evaluating-financial-intelligence-in-large-language-models-benchmarking-18cb2ccbcc.txt,60015,
finbloom-knowledge-grounding-large-language-model-with-real-time-financi-b2e0f97b7c,FinBloom: Knowledge Grounding Large Language Model with Real-time Financial Data,ok,data/papers/text/finbloom-knowledge-grounding-large-language-model-with-real-time-financi-b2e0f97b7c.txt,106761,
are-chatgpt-and-gpt-4-general-purpose-solvers-for-financial-text-analyti-00bed16404,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? A Study on Several Typical Tasks,ok,data/papers/text/are-chatgpt-and-gpt-4-general-purpose-solvers-for-financial-text-analyti-00bed16404.txt,49145,
enhancing-financial-sentiment-analysis-via-retrieval-augmented-large-lan-19e646502d,Enhancing Financial Sentiment Analysis via Retrieval Augmented Large Language Models,ok,data/papers/text/enhancing-financial-sentiment-analysis-via-retrieval-augmented-large-lan-19e646502d.txt,40141,
finllama-financial-sentiment-classification-for-algorithmic-trading-appl-349f570451,FinLlama: Financial Sentiment Classification for Algorithmic Trading Applications,ok,data/papers/text/finllama-financial-sentiment-classification-for-algorithmic-trading-appl-349f570451.txt,29234,
when-flue-meets-flang-benchmarks-and-large-pretrained-language-model-for-8a6c7cd921,When FLUE Meets FLANG: Benchmarks and Large Pretrained Language Model for Financial Domain,ok,data/papers/text/when-flue-meets-flang-benchmarks-and-large-pretrained-language-model-for-8a6c7cd921.txt,55230,
fincon-a-synthesized-llm-multi-agent-system-with-conceptual-verbal-reinf-9565ac13a8,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,ok,data/papers/text/fincon-a-synthesized-llm-multi-agent-system-with-conceptual-verbal-reinf-9565ac13a8.txt,95598,
fingpt-democratizing-internet-scale-data-for-financial-large-language-mo-c238413b02,FinGPT: Democratizing Internet-scale Data for Financial Large Language Models,ok,data/papers/text/fingpt-democratizing-internet-scale-data-for-financial-large-language-mo-c238413b02.txt,151048,
instruct-fingpt-financial-sentiment-analysis-by-instruction-tuning-of-ge-b9e440ec58,Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,ok,data/papers/text/instruct-fingpt-financial-sentiment-analysis-by-instruction-tuning-of-ge-b9e440ec58.txt,31632,
finarena-a-human-agent-collaboration-framework-for-financial-market-anal-e38bdfa3c2,FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting,ok,data/papers/text/finarena-a-human-agent-collaboration-framework-for-financial-market-anal-e38bdfa3c2.txt,71657,
fin-r1-a-large-language-model-for-financial-reasoning-through-reinforcem-7d06b1cc7d,Fin-R1: A Large Language Model for Financial Reasoning through Reinforcement Learning,ok,data/papers/text/fin-r1-a-large-language-model-for-financial-reasoning-through-reinforcem-7d06b1cc7d.txt,80504,
exploring-large-language-models-for-financial-applications-techniques-pe-0af430b2c8,"Exploring Large Language Models for Financial Applications: Techniques, Performance, and Challenges with FinMA",ok,data/papers/text/exploring-large-language-models-for-financial-applications-techniques-pe-0af430b2c8.txt,83613,
when-ai-meets-finance-stockagent-large-language-model-based-stock-tradin-45acf228e6,When AI Meets Finance (StockAgent): Large Language Model-based Stock Trading in Simulated Real-world Environments,ok,data/papers/text/when-ai-meets-finance-stockagent-large-language-model-based-stock-tradin-45acf228e6.txt,88989,
bizfinbench-a-business-driven-real-world-financial-benchmark-for-evaluat-2e574185be,BizFinBench: A Business-Driven Real-World Financial Benchmark for Evaluating LLMs,ok,data/papers/text/bizfinbench-a-business-driven-real-world-financial-benchmark-for-evaluat-2e574185be.txt,61355,
flag-trader-fusion-llm-agent-with-gradient-based-reinforcement-learning-71ff394a16,FLAG-Trader: Fusion LLM-Agent with Gradient-based Reinforcement Learning for Financial Trading,ok,data/papers/text/flag-trader-fusion-llm-agent-with-gradient-based-reinforcement-learning-71ff394a16.txt,49099,
exploring-the-synergy-of-quantitative-factors-and-newsflow-representatio-dca558531f,Exploring the Synergy of Quantitative Factors and Newsflow Representations from Large Language Models for Stock Return Prediction,ok,data/papers/text/exploring-the-synergy-of-quantitative-factors-and-newsflow-representatio-dca558531f.txt,105476,
finvis-gpt-a-multimodal-large-language-model-for-financial-chart-analysi-efcd171f3e,FinVis-GPT: A Multimodal Large Language Model for Financial Chart Analysis,ok,data/papers/text/finvis-gpt-a-multimodal-large-language-model-for-financial-chart-analysi-efcd171f3e.txt,25690,
large-language-model-in-financial-regulatory-interpretation-61ce98751c,Large Language Model in Financial Regulatory Interpretation,ok,data/papers/text/large-language-model-in-financial-regulatory-interpretation-61ce98751c.txt,35071,
automate-strategy-finding-with-llm-in-quant-investment-f16ed6f390,Automate Strategy Finding with LLM in Quant investment,ok,data/papers/text/automate-strategy-finding-with-llm-in-quant-investment-f16ed6f390.txt,65248,
deficiency-of-large-language-models-in-finance-an-empirical-examination-1800da696f,Deficiency of Large Language Models in Finance: An Empirical Examination of Hallucination,ok,data/papers/text/deficiency-of-large-language-models-in-finance-an-empirical-examination-1800da696f.txt,44697,
plutus-benchmarking-large-language-models-in-low-resource-greek-finance-57137cd69f,Plutus: Benchmarking Large Language Models in Low-Resource Greek Finance,ok,data/papers/text/plutus-benchmarking-large-language-models-in-low-resource-greek-finance-57137cd69f.txt,84944,
finnli-novel-dataset-for-multi-genre-financial-natural-language-inferenc-70ea032170,FinNLI: Novel Dataset for Multi-Genre Financial Natural Language Inference Benchmarking,ok,data/papers/text/finnli-novel-dataset-for-multi-genre-financial-natural-language-inferenc-70ea032170.txt,93564,
realfin-how-well-do-llms-reason-about-finance-when-users-leave-things-un-a59fb85d93,RealFin: How Well Do LLMs Reason About Finance When Users Leave Things Unsaid?,ok,data/papers/text/realfin-how-well-do-llms-reason-about-finance-when-users-leave-things-un-a59fb85d93.txt,122750,
mars-a-financial-market-simulation-engine-powered-by-generative-foundati-30d08a4447,MarS: a Financial Market Simulation Engine Powered by Generative Foundation Model,ok,data/papers/text/mars-a-financial-market-simulation-engine-powered-by-generative-foundati-30d08a4447.txt,113245,
