paper_key,title,download_status,pdf_path,download_source,download_url,error,source_url,doi,arxiv,paperId
golden-touchstone-a-comprehensive-bilingual-benchmark-for-evaluating-fin-d3b7e00062,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,downloaded,data/papers/pdf/golden-touchstone-a-comprehensive-bilingual-benchmark-for-evaluating-fin-d3b7e00062.pdf,existing,,,,,,
flame-a-holistic-benchmark-for-financial-language-models-d1289e5282,FLaME: A Holistic Benchmark for Financial Language Models,downloaded,data/papers/pdf/flame-a-holistic-benchmark-for-financial-language-models-d1289e5282.pdf,existing,,,,,,
bbt-fin-comprehensive-construction-of-chinese-financial-domain-pre-train-91643c7141,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",downloaded,data/papers/pdf/bbt-fin-comprehensive-construction-of-chinese-financial-domain-pre-train-91643c7141.pdf,existing,,,,,,
large-language-model-evaluation-on-financial-benchmarks-f6444c3406,Large Language Model Evaluation on Financial Benchmarks,downloaded,data/papers/pdf/large-language-model-evaluation-on-financial-benchmarks-f6444c3406.pdf,existing,,,,,,
flame-financial-large-language-model-evaluation-system-in-chinese-f6444c3406,FLAME: Financial Large Language Model Evaluation System in Chinese,downloaded,data/papers/pdf/flame-financial-large-language-model-evaluation-system-in-chinese-f6444c3406.pdf,existing,,,,,,
finqa-a-dataset-of-numerical-reasoning-over-financial-data-139db7bdbc,FinQA: A Dataset of Numerical Reasoning over Financial Data,downloaded,data/papers/pdf/finqa-a-dataset-of-numerical-reasoning-over-financial-data-139db7bdbc.pdf,existing,,,,,,
tat-qa-a-question-answering-benchmark-on-a-hybrid-of-tabular-and-textual-342547ccbf,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,downloaded,data/papers/pdf/tat-qa-a-question-answering-benchmark-on-a-hybrid-of-tabular-and-textual-342547ccbf.pdf,existing,,,,,,
convfinqa-exploring-the-chain-of-numerical-reasoning-in-conversational-f-2ccea88038,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,downloaded,data/papers/pdf/convfinqa-exploring-the-chain-of-numerical-reasoning-in-conversational-f-2ccea88038.pdf,existing,,,,,,
multihiertt-numerical-reasoning-over-multi-hierarchical-tabular-and-text-b038f6bd04,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,downloaded,data/papers/pdf/multihiertt-numerical-reasoning-over-multi-hierarchical-tabular-and-text-b038f6bd04.pdf,existing,,,,,,
docfinqa-a-long-context-financial-reasoning-dataset-24a9551b38,DocFinQA: A Long-Context Financial Reasoning Dataset,downloaded,data/papers/pdf/docfinqa-a-long-context-financial-reasoning-dataset-24a9551b38.pdf,existing,,,,,,
financebench-a-new-benchmark-for-financial-question-answering-864aab2a80,FinanceBench: A New Benchmark for Financial Question Answering,downloaded,data/papers/pdf/financebench-a-new-benchmark-for-financial-question-answering-864aab2a80.pdf,existing,,,,,,
sec-qa-a-systematic-benchmark-for-evaluating-long-context-question-answe-8a58c85c92,SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,downloaded,data/papers/pdf/sec-qa-a-systematic-benchmark-for-evaluating-long-context-question-answe-8a58c85c92.pdf,existing,,,,,,
secque-a-benchmark-for-evaluating-question-answering-on-sec-filings-53156d5e7b,SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings,downloaded,data/papers/pdf/secque-a-benchmark-for-evaluating-question-answering-on-sec-filings-53156d5e7b.pdf,existing,,,,,,
financereasoning-a-financial-benchmark-for-large-reasoning-models-6e9266ef37,FinanceReasoning: A Financial Benchmark for Large Reasoning Models,downloaded,data/papers/pdf/financereasoning-a-financial-benchmark-for-large-reasoning-models-6e9266ef37.pdf,existing,,,,,,
bizbench-a-quantitative-reasoning-benchmark-for-business-and-finance-d81473b256,BizBench: A Quantitative Reasoning Benchmark for Business and Finance,downloaded,data/papers/pdf/bizbench-a-quantitative-reasoning-benchmark-for-business-and-finance-d81473b256.pdf,existing,,,,,,
findabench-benchmarking-financial-data-analysis-ability-of-large-languag-10954bef35,FinDABench: Benchmarking Financial Data Analysis Ability of Large Language Models,downloaded,data/papers/pdf/findabench-benchmarking-financial-data-analysis-ability-of-large-languag-10954bef35.pdf,existing,,,,,,
fin-rate-financial-report-analytics-and-tracking-evaluation-for-large-la-b0db00db90,Fin-RATE: Financial Report Analytics and Tracking Evaluation for Large Language Models,downloaded,data/papers/pdf/fin-rate-financial-report-analytics-and-tracking-evaluation-for-large-la-b0db00db90.pdf,existing,,,,,,
xbrl-agent-leveraging-large-language-models-for-financial-report-analysi-baf139e04d,XBRL Agent: Leveraging Large Language Models for Financial Report Analysis,needs_manual_download,,,,no_pdf_candidate,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4993495,10.1145/3677052.3698614,,e0f9dd441c150700817157ab58f08a770309d7a5
fintagging-a-full-scope-table-aware-xbrl-tagging-benchmark-with-llms-44ac324b91,FinTagging: A Full-Scope Table-Aware XBRL Tagging Benchmark with LLMs,downloaded,data/papers/pdf/fintagging-a-full-scope-table-aware-xbrl-tagging-benchmark-with-llms-44ac324b91.pdf,existing,,,,,,
taxonomy-aligned-risk-extraction-from-10-k-filings-0bed83205f,Taxonomy-Aligned Risk Extraction from 10-K Filings,downloaded,data/papers/pdf/taxonomy-aligned-risk-extraction-from-10-k-filings-0bed83205f.pdf,existing,,,,,,
quantifying-material-risks-from-textual-disclosures-in-financial-stateme-dedf7a7f63,Quantifying Material Risks from Textual Disclosures in Financial Statements using Large Language Model Agents,downloaded,data/papers/pdf/quantifying-material-risks-from-textual-disclosures-in-financial-stateme-dedf7a7f63.pdf,existing,,,,,,
financial-statement-analysis-with-large-language-models-ece5489631,Financial Statement Analysis with Large Language Models,downloaded,data/papers/pdf/financial-statement-analysis-with-large-language-models-ece5489631.pdf,existing,,,,,,
can-chatgpt-forecast-stock-price-movements-return-predictability-and-lar-725fdbb9e8,Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models,downloaded,data/papers/pdf/can-chatgpt-forecast-stock-price-movements-return-predictability-and-lar-725fdbb9e8.pdf,existing,,,,,,
ai-in-investment-analysis-large-language-models-for-equity-stock-ratings-07cead13b7,AI in Investment Analysis: Large Language Models for Equity Stock Ratings,downloaded,data/papers/pdf/ai-in-investment-analysis-large-language-models-for-equity-stock-ratings-07cead13b7.pdf,existing,,,,,,
finmem-a-performance-enhanced-large-language-model-trading-agent-with-la-9fcba6c5a9,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,downloaded,data/papers/pdf/finmem-a-performance-enhanced-large-language-model-trading-agent-with-la-9fcba6c5a9.pdf,existing,,,,,,
tradingagents-multi-agents-large-language-models-for-financial-trading-a26ae2b3cc,TradingAgents: Multi-Agents Large Language Models for Financial Trading,downloaded,data/papers/pdf/tradingagents-multi-agents-large-language-models-for-financial-trading-a26ae2b3cc.pdf,existing,,,,,,
investorbench-a-benchmark-for-large-language-model-agents-in-financial-d-146818c76f,InvestorBench: A Benchmark for Large Language Model Agents in Financial Decision-Making,downloaded,data/papers/pdf/investorbench-a-benchmark-for-large-language-model-agents-in-financial-d-146818c76f.pdf,existing,,,,,,
stockbench-can-large-language-models-beat-the-stock-market-4424b04a4f,StockBench: Can Large Language Models Beat the Stock Market?,downloaded,data/papers/pdf/stockbench-can-large-language-models-beat-the-stock-market-4424b04a4f.pdf,existing,,,,,,
can-llm-based-financial-investing-strategies-outperform-d516499ff8,Can LLM-Based Financial Investing Strategies Outperform?,downloaded,data/papers/pdf/can-llm-based-financial-investing-strategies-outperform-d516499ff8.pdf,existing,,,,,,
fintradebench-a-comprehensive-benchmark-for-fundamental-and-technical-an-f880ebadd8,FinTradeBench: A Comprehensive Benchmark for Fundamental and Technical Analysis in Financial Trading,downloaded,data/papers/pdf/fintradebench-a-comprehensive-benchmark-for-fundamental-and-technical-an-f880ebadd8.pdf,existing,,,,,,
stockgpt-a-genai-model-for-stock-prediction-and-trading-feeca44536,StockGPT: A GenAI Model for Stock Prediction and Trading,downloaded,data/papers/pdf/stockgpt-a-genai-model-for-stock-prediction-and-trading-feeca44536.pdf,existing,,,,,,
decision-informed-neural-networks-with-large-language-model-integration-6e62dbddd3,Decision-Informed Neural Networks with Large Language Model Integration for Portfolio Optimization,downloaded,data/papers/pdf/decision-informed-neural-networks-with-large-language-model-integration-6e62dbddd3.pdf,existing,,,,,,
leveraging-large-language-models-for-top-down-sector-allocation-5e10bdb44f,Leveraging Large Language Models for Top-Down Sector Allocation,downloaded,data/papers/pdf/leveraging-large-language-models-for-top-down-sector-allocation-5e10bdb44f.pdf,existing,,,,,,
the-wall-street-neophyte-a-zero-shot-analysis-of-chatgpt-over-multimodal-85cfc6303f,The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT over Multimodal Stock Movement Prediction Challenges,downloaded,data/papers/pdf/the-wall-street-neophyte-a-zero-shot-analysis-of-chatgpt-over-multimodal-85cfc6303f.pdf,existing,,,,,,
your-ai-not-your-view-the-bias-of-large-language-models-in-investment-an-4d9e553106,"Your AI, Not Your View: The Bias of Large Language Models in Investment Analysis",downloaded,data/papers/pdf/your-ai-not-your-view-the-bias-of-large-language-models-in-investment-an-4d9e553106.pdf,existing,,,,,,
leveraging-large-language-models-for-institutional-investment-management-92ad4f3fd5,Leveraging Large Language Models for Institutional Investment Management,downloaded,data/papers/pdf/leveraging-large-language-models-for-institutional-investment-management-92ad4f3fd5.pdf,existing,,,,,,
finrobot-ai-agent-for-equity-research-and-valuation-with-large-language-b118b54ec3,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,downloaded,data/papers/pdf/finrobot-ai-agent-for-equity-research-and-valuation-with-large-language-b118b54ec3.pdf,existing,,,,,,
finrobot-an-open-source-ai-agent-platform-for-financial-applications-usi-3dbd0bf872,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,downloaded,data/papers/pdf/finrobot-an-open-source-ai-agent-platform-for-financial-applications-usi-3dbd0bf872.pdf,existing,,,,,,
the-structure-of-financial-equity-research-reports-3b97f0e6b3,The Structure of Financial Equity Research Reports,downloaded,data/papers/pdf/the-structure-of-financial-equity-research-reports-3b97f0e6b3.pdf,existing,,,,,,
finrpt-financial-report-understanding-and-generation-benchmark-7ea8135395,FinRpt: Financial Report Understanding and Generation Benchmark,downloaded,data/papers/pdf/finrpt-financial-report-understanding-and-generation-benchmark-7ea8135395.pdf,existing,,,,,,
task-adaptive-large-language-models-to-generate-human-persuasive-investm-d2ec14ee4a,Task-Adaptive Large Language Models to Generate Human-Persuasive Investment Reports,downloaded,data/papers/pdf/task-adaptive-large-language-models-to-generate-human-persuasive-investm-d2ec14ee4a.pdf,existing,,,,,,
finsphere-a-conversational-stock-analysis-agent-based-on-large-language-f1609a2ab0,FinSphere: A Conversational Stock Analysis Agent based on Large Language Models,downloaded,data/papers/pdf/finsphere-a-conversational-stock-analysis-agent-based-on-large-language-f1609a2ab0.pdf,existing,,,,,,
finance-agent-benchmark-evaluating-language-model-agents-as-financial-as-06b1f297e7,Finance Agent Benchmark: Evaluating Language Model Agents as Financial Assistants,downloaded,data/papers/pdf/finance-agent-benchmark-evaluating-language-model-agents-as-financial-as-06b1f297e7.pdf,existing,,,,,,
a-preliminary-look-at-the-state-of-the-art-of-large-language-models-on-c-0af24b97b9,A Preliminary Look at the State of the Art of Large Language Models on Chartered Financial Analyst Exams,downloaded,data/papers/pdf/a-preliminary-look-at-the-state-of-the-art-of-large-language-models-on-c-0af24b97b9.pdf,existing,,,,,,
advanced-financial-reasoning-at-scale-large-language-models-on-chartered-a047568415,Advanced Financial Reasoning at Scale: Large Language Models on Chartered Financial Analyst Level III,downloaded,data/papers/pdf/advanced-financial-reasoning-at-scale-large-language-models-on-chartered-a047568415.pdf,existing,,,,,,
can-large-language-models-tackle-the-chartered-financial-analyst-exam-3967d3a045,Can Large Language Models Tackle the Chartered Financial Analyst Exam?,downloaded,data/papers/pdf/can-large-language-models-tackle-the-chartered-financial-analyst-exam-3967d3a045.pdf,existing,,,,,,
finbert-financial-sentiment-analysis-with-pre-trained-language-models-b1f544d255,FinBERT: Financial Sentiment Analysis with Pre-trained Language Models,downloaded,data/papers/pdf/finbert-financial-sentiment-analysis-with-pre-trained-language-models-b1f544d255.pdf,existing,,,,,,
a-multimodal-foundation-agent-for-financial-trading-tool-augmented-diver-b3a4aba865,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",downloaded,data/papers/pdf/a-multimodal-foundation-agent-for-financial-trading-tool-augmented-diver-b3a4aba865.pdf,existing,,,,,,
xuanyuan-2-0-a-large-chinese-financial-chat-model-with-hundreds-of-billi-e296750eb0,XuanYuan 2.0: A Large Chinese Financial Chat Model with Hundreds of Billions Parameters,downloaded,data/papers/pdf/xuanyuan-2-0-a-large-chinese-financial-chat-model-with-hundreds-of-billi-e296750eb0.pdf,existing,,,,,,
advancing-financial-engineering-with-foundation-models-progress-applicat-7f05bd0639,"Advancing Financial Engineering with Foundation Models: Progress, Applications, and Challenges",downloaded,data/papers/pdf/advancing-financial-engineering-with-foundation-models-progress-applicat-7f05bd0639.pdf,existing,,,,,,
investlm-a-large-language-model-for-investment-using-financial-domain-in-e7255c811b,InvestLM: A Large Language Model for Investment using Financial Domain Instruction Tuning,downloaded,data/papers/pdf/investlm-a-large-language-model-for-investment-using-financial-domain-in-e7255c811b.pdf,existing,,,,,,
finbert-a-pretrained-language-model-for-financial-communications-b46cb2d7b1,FinBERT: A Pretrained Language Model for Financial Communications,downloaded,data/papers/pdf/finbert-a-pretrained-language-model-for-financial-communications-b46cb2d7b1.pdf,existing,,,,,,
revolutionizing-finance-with-llms-an-overview-of-applications-and-insigh-d0c3442f5a,Revolutionizing Finance with LLMs: An Overview of Applications and Insights,downloaded,data/papers/pdf/revolutionizing-finance-with-llms-an-overview-of-applications-and-insigh-d0c3442f5a.pdf,existing,,,,,,
towards-competent-ai-for-fundamental-analysis-in-finance-a-benchmark-dat-be4625157a,Towards Competent AI for Fundamental Analysis in Finance: A Benchmark Dataset and Evaluation,downloaded,data/papers/pdf/towards-competent-ai-for-fundamental-analysis-in-finance-a-benchmark-dat-be4625157a.pdf,existing,,,,,,
cfgpt-chinese-financial-assistant-with-large-language-model-8d943aecc7,CFGPT: Chinese Financial Assistant with Large Language Model,downloaded,data/papers/pdf/cfgpt-chinese-financial-assistant-with-large-language-model-8d943aecc7.pdf,existing,,,,,,
disc-finllm-a-chinese-financial-large-language-model-based-on-multiple-e-154239163e,DISC-FinLLM: A Chinese Financial Large Language Model based on Multiple Experts Fine-tuning,downloaded,data/papers/pdf/disc-finllm-a-chinese-financial-large-language-model-based-on-multiple-e-154239163e.pdf,existing,,,,,,
livetradebench-seeking-real-world-alpha-with-large-language-models-477e1211f8,LiveTradeBench: Seeking Real-World Alpha with Large Language Models,downloaded,data/papers/pdf/livetradebench-seeking-real-world-alpha-with-large-language-models-477e1211f8.pdf,existing,,,,,,
learning-to-trade-like-an-expert-cognitive-fine-tuning-for-stable-financ-6ccd341b6e,Learning to Trade Like an Expert: Cognitive Fine-Tuning for Stable Financial Reasoning in Language Models,downloaded,data/papers/pdf/learning-to-trade-like-an-expert-cognitive-fine-tuning-for-stable-financ-6ccd341b6e.pdf,existing,,,,,,
standard-benchmarks-fail-auditing-llm-agents-in-finance-must-prioritize-1d96c5e908,Standard Benchmarks Fail -- Auditing LLM Agents in Finance Must Prioritize Risk,downloaded,data/papers/pdf/standard-benchmarks-fail-auditing-llm-agents-in-finance-must-prioritize-1d96c5e908.pdf,existing,,,,,,
mixing-it-up-the-cocktail-effect-of-multi-task-fine-tuning-on-llm-perfor-c9bf4ec24b,Mixing It Up: The Cocktail Effect of Multi-Task Fine-Tuning on LLM Performance - A Case Study in Finance,downloaded,data/papers/pdf/mixing-it-up-the-cocktail-effect-of-multi-task-fine-tuning-on-llm-perfor-c9bf4ec24b.pdf,existing,,,,,,
will-llms-be-professional-at-fund-investment-deepfund-a-live-arena-persp-62580b8ebc,Will LLMs be Professional at Fund Investment? DeepFund: A Live Arena Perspective,downloaded,data/papers/pdf/will-llms-be-professional-at-fund-investment-deepfund-a-live-arena-persp-62580b8ebc.pdf,existing,,,,,,
finsearchcomp-towards-a-realistic-expert-level-evaluation-of-financial-s-c8ab3e2ced,"FinSearchComp: Towards a Realistic, Expert-Level Evaluation of Financial Search and Reasoning",downloaded,data/papers/pdf/finsearchcomp-towards-a-realistic-expert-level-evaluation-of-financial-s-c8ab3e2ced.pdf,existing,,,,,,
no-language-is-an-island-unifying-chinese-and-english-in-financial-large-ce0eb9b41c,"No Language is an Island: Unifying Chinese and English in Financial Large Language Models, Instruction Data, and Benchmarks",downloaded,data/papers/pdf/no-language-is-an-island-unifying-chinese-and-english-in-financial-large-ce0eb9b41c.pdf,existing,,,,,,
large-language-model-agents-in-finance-a-survey-bridging-research-practi-ea2c81fd34,"Large Language Model Agents in Finance: A Survey Bridging Research, Practice, and Real-World Deployment",downloaded,data/papers/pdf/large-language-model-agents-in-finance-a-survey-bridging-research-practi-ea2c81fd34.pdf,existing,,,,,,
finder-financial-dataset-for-question-answering-and-evaluating-retrieval-db2aa48d4b,FinDER: Financial Dataset for Question Answering and Evaluating Retrieval-Augmented Generation,downloaded,data/papers/pdf/finder-financial-dataset-for-question-answering-and-evaluating-retrieval-db2aa48d4b.pdf,existing,,,,,,
unlocking-data-value-in-finance-a-study-on-distillation-and-difficulty-a-f6e205e6f6,Unlocking Data Value in Finance: A Study on Distillation and Difficulty-Aware Training,downloaded,data/papers/pdf/unlocking-data-value-in-finance-a-study-on-distillation-and-difficulty-a-f6e205e6f6.pdf,existing,,,,,,
fintral-a-family-of-gpt-4-level-multimodal-financial-large-language-mode-70e67bb4c6,FinTral: A Family of GPT-4 Level Multimodal Financial Large Language Models,downloaded,data/papers/pdf/fintral-a-family-of-gpt-4-level-multimodal-financial-large-language-mode-70e67bb4c6.pdf,existing,,,,,,
empowering-many-biasing-a-few-generalist-credit-scoring-through-large-la-be1555ff8b,"Empowering Many, Biasing a Few: Generalist Credit Scoring through Large Language Models",downloaded,data/papers/pdf/empowering-many-biasing-a-few-generalist-credit-scoring-through-large-la-be1555ff8b.pdf,existing,,,,,,
open-finllms-open-multimodal-large-language-models-for-financial-applica-dc51f97439,Open-FinLLMs: Open Multimodal Large Language Models for Financial Applications,downloaded,data/papers/pdf/open-finllms-open-multimodal-large-language-models-for-financial-applica-dc51f97439.pdf,existing,,,,,,
tradinggpt-multi-agent-system-with-layered-memory-and-distinct-character-a75a65d704,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,downloaded,data/papers/pdf/tradinggpt-multi-agent-system-with-layered-memory-and-distinct-character-a75a65d704.pdf,existing,,,,,,
time-travel-is-cheating-going-live-with-deepfund-for-real-time-fund-inve-f619d66697,Time Travel is Cheating: Going Live with DeepFund for Real-Time Fund Investment Benchmarking,downloaded,data/papers/pdf/time-travel-is-cheating-going-live-with-deepfund-for-real-time-fund-inve-f619d66697.pdf,existing,,,,,,
responsible-innovation-a-strategic-framework-for-financial-llm-integrati-fb710dee05,Responsible Innovation: A Strategic Framework for Financial LLM Integration,downloaded,data/papers/pdf/responsible-innovation-a-strategic-framework-for-financial-llm-integrati-fb710dee05.pdf,existing,,,,,,
large-language-model-agents-for-investment-management-foundations-benchm-065c8ebed4,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",needs_manual_download,,,,no_pdf_candidate,https://www.semanticscholar.org/paper/a5a80a83cf865a0f854332b02ec26353d436c036,10.1145/3768292.3770387,,a5a80a83cf865a0f854332b02ec26353d436c036
d-lares-or-dollars-unraveling-the-bilingual-prowess-of-financial-llms-be-27d6e820a6,Dólares or Dollars? Unraveling the Bilingual Prowess of Financial LLMs Between Spanish and English,downloaded,data/papers/pdf/d-lares-or-dollars-unraveling-the-bilingual-prowess-of-financial-llms-be-27d6e820a6.pdf,existing,,,,,,
from-scores-to-skills-a-cognitive-diagnosis-framework-for-evaluating-fin-7b9d3f5a89,From Scores to Skills: A Cognitive Diagnosis Framework for Evaluating Financial Large Language Models,downloaded,data/papers/pdf/from-scores-to-skills-a-cognitive-diagnosis-framework-for-evaluating-fin-7b9d3f5a89.pdf,existing,,,,,,
financial-report-chunking-for-effective-retrieval-augmented-generation-50d1ad65ad,Financial Report Chunking for Effective Retrieval Augmented Generation,downloaded,data/papers/pdf/financial-report-chunking-for-effective-retrieval-augmented-generation-50d1ad65ad.pdf,existing,,,,,,
alphafin-benchmarking-financial-analysis-with-retrieval-augmented-stock-0bc0440539,AlphaFin: Benchmarking Financial Analysis with Retrieval-Augmented Stock-Chain Framework,downloaded,data/papers/pdf/alphafin-benchmarking-financial-analysis-with-retrieval-augmented-stock-0bc0440539.pdf,existing,,,,,,
a-comprehensive-review-of-generative-ai-in-finance-4d76050697,A Comprehensive Review of Generative AI in Finance,downloaded,data/papers/pdf/a-comprehensive-review-of-generative-ai-in-finance-4d76050697.pdf,existing,,,,,,
fingpt-instruction-tuning-benchmark-for-open-source-large-language-model-b8be7f3a4f,FinGPT: Instruction Tuning Benchmark for Open-Source Large Language Models in Financial Datasets,downloaded,data/papers/pdf/fingpt-instruction-tuning-benchmark-for-open-source-large-language-model-b8be7f3a4f.pdf,existing,,,,,,
finchain-a-symbolic-benchmark-for-verifiable-chain-of-thought-financial-d8b6bc45ef,FinChain: A Symbolic Benchmark for Verifiable Chain-of-Thought Financial Reasoning,downloaded,data/papers/pdf/finchain-a-symbolic-benchmark-for-verifiable-chain-of-thought-financial-d8b6bc45ef.pdf,existing,,,,,,
evaluating-financial-intelligence-in-large-language-models-benchmarking-18cb2ccbcc,Evaluating Financial Intelligence in Large Language Models: Benchmarking SuperInvesting AI with LLM Engines,downloaded,data/papers/pdf/evaluating-financial-intelligence-in-large-language-models-benchmarking-18cb2ccbcc.pdf,existing,,,,,,
tat-llm-a-specialized-language-model-for-discrete-reasoning-over-financi-453ad1c425,TAT-LLM: A Specialized Language Model for Discrete Reasoning over Financial Tabular and Textual Data,downloaded,data/papers/pdf/tat-llm-a-specialized-language-model-for-discrete-reasoning-over-financi-453ad1c425.pdf,existing,,,,,,
finbloom-knowledge-grounding-large-language-model-with-real-time-financi-b2e0f97b7c,FinBloom: Knowledge Grounding Large Language Model with Real-time Financial Data,downloaded,data/papers/pdf/finbloom-knowledge-grounding-large-language-model-with-real-time-financi-b2e0f97b7c.pdf,existing,,,,,,
are-chatgpt-and-gpt-4-general-purpose-solvers-for-financial-text-analyti-00bed16404,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? A Study on Several Typical Tasks,downloaded,data/papers/pdf/are-chatgpt-and-gpt-4-general-purpose-solvers-for-financial-text-analyti-00bed16404.pdf,existing,,,,,,
enhancing-financial-sentiment-analysis-via-retrieval-augmented-large-lan-19e646502d,Enhancing Financial Sentiment Analysis via Retrieval Augmented Large Language Models,downloaded,data/papers/pdf/enhancing-financial-sentiment-analysis-via-retrieval-augmented-large-lan-19e646502d.pdf,existing,,,,,,
finllama-financial-sentiment-classification-for-algorithmic-trading-appl-349f570451,FinLlama: Financial Sentiment Classification for Algorithmic Trading Applications,downloaded,data/papers/pdf/finllama-financial-sentiment-classification-for-algorithmic-trading-appl-349f570451.pdf,existing,,,,,,
when-flue-meets-flang-benchmarks-and-large-pretrained-language-model-for-8a6c7cd921,When FLUE Meets FLANG: Benchmarks and Large Pretrained Language Model for Financial Domain,downloaded,data/papers/pdf/when-flue-meets-flang-benchmarks-and-large-pretrained-language-model-for-8a6c7cd921.pdf,existing,,,,,,
www-18-open-challenge-financial-opinion-mining-and-question-answering-cf22648ff8,WWW'18 Open Challenge: Financial Opinion Mining and Question Answering,downloaded,data/papers/pdf/www-18-open-challenge-financial-opinion-mining-and-question-answering-cf22648ff8.pdf,existing,,,,,,
fincon-a-synthesized-llm-multi-agent-system-with-conceptual-verbal-reinf-9565ac13a8,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,downloaded,data/papers/pdf/fincon-a-synthesized-llm-multi-agent-system-with-conceptual-verbal-reinf-9565ac13a8.pdf,existing,,,,,,
fingpt-democratizing-internet-scale-data-for-financial-large-language-mo-c238413b02,FinGPT: Democratizing Internet-scale Data for Financial Large Language Models,downloaded,data/papers/pdf/fingpt-democratizing-internet-scale-data-for-financial-large-language-mo-c238413b02.pdf,existing,,,,,,
