list_status,priority,primary_category,title,short_name,approx_year,paper_type,primary_relevance,key_use_for_systematic_survey,source_url,notes,citationCount,seed_hit_count,score,authors,venue,doi,arxiv,paperId,abstract,taxonomy_category,taxonomy_description
seed,P0,Financial agents,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,FinMem,2023,Agent,Memory-based LLM trading agent,"Use to study profiling, layered memory, and decision-making in trading agents.",https://arxiv.org/abs/2311.13743,Early influential LLM trading agent architecture.,177,,,Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Jordan W. Suchow; Denghui Zhang; K. Khashanah,IEEE Transactions on Big Data,10.1109/TBDATA.2025.3593370,2311.13743,eb34bd715e3a7c68477ec0824ebb171b948b80c2,"We introduce FinMem, a novel Large Language Models (LLM)-based agent framework for financial trading, designed to address the need for automated systems that can transform real-time data into executable decisions. FinMem comprises three core modules: Profile for customizing agent characteristics, Memory for hierarchical financial data assimilation, and Decision-making for converting insights into investment choices. The Memory module, which mimics human traders’ cognitive structure, offers interpretability and real-time tuning while handling the critical timing of various information types. It employs a layered approach to process and prioritize data based on its timeliness and relevance, ensuring that the most recent and impactful information is given appropriate weight in decision-making. FinMem’s adjustable cognitive span allows retention of critical information beyond human limits, enabling it to balance historical patterns with current market dynamics. This framework facilitates self-evolution of professional knowledge, agile reactions to investment cues, and continuous refinement of trading decisions in financial environments. When compared against advanced algorithmic agents using a large-scale real-world financial dataset, FinMem demonstrates superior performance across classic metrics like Cumulative Return and Sharpe ratio. Further tuning of the agent’s perceptual span and character setting enhances its trading performance, positioning FinMem as a cutting-edge solution for automated trading.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
seed,P0,Financial agents,TradingAgents: Multi-Agents Large Language Models for Financial Trading,TradingAgents,2024,Agent / Framework,Multi-agent trading research workflow,"Use to study simulated investment teams with fundamental, sentiment, technical, trader, researcher, and risk roles.",https://arxiv.org/abs/2412.20138,Relevant to agentic investment committee workflows.,139,,,Yijia Xiao; Edward Sun; Di Luo; Wei Wang,arXiv.org,10.48550/arXiv.2412.20138,2412.20138,e3dd4964c07c914a0ccca2e2f3ed6410f8a86a6a,"Significant progress has been made in automated problem-solving using societies of agents powered by large language models (LLMs). In finance, efforts have largely focused on single-agent systems handling specific tasks or multi-agent frameworks independently gathering data. However, the multi-agent systems' potential to replicate real-world trading firms' collaborative dynamics remains underexplored. TradingAgents proposes a novel stock trading framework inspired by trading firms, featuring LLM-powered agents in specialized roles such as fundamental analysts, sentiment analysts, technical analysts, and traders with varied risk profiles. The framework includes Bull and Bear researcher agents assessing market conditions, a risk management team monitoring exposure, and traders synthesizing insights from debates and historical data to make informed decisions. By simulating a dynamic, collaborative trading environment, this framework aims to improve trading performance. Detailed architecture and extensive experiments reveal its superiority over baseline models, with notable improvements in cumulative returns, Sharpe ratio, and maximum drawdown, highlighting the potential of multi-agent LLM frameworks in financial trading. TradingAgents is available at https://github.com/TauricResearch/TradingAgents.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
seed,P0,Benchmarks and datasets,InvestorBench: A Benchmark for Large Language Model Agents in Financial Decision-Making,InvestorBench,2024,Benchmark,Financial decision-making benchmark for LLM agents,"Use to evaluate agent decisions across stocks, cryptocurrency, and exchange-traded funds.",https://arxiv.org/abs/2412.18174,Important for measuring investment agents beyond static QA.,39,,,Haohang Li; Yupeng Cao; Yangyang Yu; Shashidhar Reddy Javaji; Zhiyang Deng; Yueru He; Yuechen Jiang; Zining Zhu; K. Subbalakshmi; Guojun Xiong; Jimin Huang; Lingfei Qian; Xueqing Peng; Qianqian Xie; Jordan W. Suchow,arXiv.org,10.48550/arXiv.2412.18174,2412.18174,74e898dbf4a82980d600828f6ffcb6cd1c4d1522,"Recent advancements have underscored the potential of large language model (LLM)-based agents in financial decision-making. Despite this progress, the field currently encounters two main challenges: (1) the lack of a comprehensive LLM agent framework adaptable to a variety of financial tasks, and (2) the absence of standardized benchmarks and consistent datasets for assessing agent performance. To tackle these issues, we introduce \textsc{InvestorBench}, the first benchmark specifically designed for evaluating LLM-based agents in diverse financial decision-making contexts. InvestorBench enhances the versatility of LLM-enabled agents by providing a comprehensive suite of tasks applicable to different financial products, including single equities like stocks, cryptocurrencies and exchange-traded funds (ETFs). Additionally, we assess the reasoning and decision-making capabilities of our agent framework using thirteen different LLMs as backbone models, across various market environments and tasks. Furthermore, we have curated a diverse collection of open-source, multi-modal datasets and developed a comprehensive suite of environments for financial decision-making. This establishes a highly accessible platform for evaluating financial agents' performance across various scenarios.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
seed,P1,Benchmarks and datasets,StockBench: Can Large Language Models Beat the Stock Market?,StockBench,2025,Benchmark,LLM agents in market trading settings,Use to test realistic sequential decision-making and contamination-free trading evaluation.,https://arxiv.org/html/2510.02209v2,Useful for checking whether LLM trading conclusions survive stricter evaluation.,15,,,Yanxu Chen; Zijun Yao; Yantao Liu; Jin Ye; Jianing Yu; Lei Hou; Juanzi Li,arXiv.org,10.48550/arXiv.2510.02209,2510.02209,30a0ed9ea36d6928b94a7ffdc9db2ebc1c88f75a,"Large language models (LLMs) demonstrate strong potential as autonomous agents, with promising capabilities in reasoning, tool use, and sequential decision-making. While prior benchmarks have evaluated LLM agents in various domains, the financial domain remains underexplored, despite its significant economic value and complex reasoning requirements. Most existing financial benchmarks focus on static question-answering, failing to capture the dynamics of real-market trading. To address this gap, we introduce STOCKBENCH, a contamination-free benchmark designed to evaluate LLM agents in realistic, multi-month stock trading environments. Agents receive daily market signals -- including prices, fundamentals, and news -- and make sequential buy, sell, or hold decisions. Performance is measured using financial metrics such as cumulative return, maximum drawdown, and the Sortino ratio, capturing both profitability and risk management. We evaluate a wide range of state-of-the-art proprietary and open-source LLMs. Surprisingly, most models struggle to outperform the simple buy-and-hold baseline, while some models demonstrate the potential to achieve higher returns and stronger risk management. These findings highlight both the challenges and opportunities of LLM-based trading agents, showing that strong performance on static financial question-answering do not necessarily translate into effective trading behavior. We release STOCKBENCH as an open-source benchmark to enable future research on LLM-driven financial agents.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
seed,P1,Trading and investment,Can LLM-Based Financial Investing Strategies Outperform?,LLM Investing Strategies,2025,Empirical Study,LLM-based market timing and investment strategies,Use to analyze regime dependence and risk-control failures in LLM strategies.,https://arxiv.org/abs/2505.07078,Highlights bull-market and bear-market behavior issues.,14,,,Weixian Waylon Li; Hyeonjun Kim; Mihai Cucuringu; Tiejun Ma,arXiv.org,10.1145/3770854.3785702,2505.07078,6d6354a0168e3d91c539032c28793ceb77f8092c,"Large Language Models (LLMs) have recently been leveraged for asset pricing and stock trading applications, enabling AI agents to generate investment decisions from unstructured financial data. However, most evaluations of LLM timing-based investing strategies are conducted on narrow timeframes and limited stock universes, overstating effectiveness due to survivorship and data-snooping biases. We critically assess their generalizability and robustness by proposing FINSABER, a backtesting framework evaluating timing-based strategies across longer periods and a larger universe of symbols. Systematic backtests over two decades and 100+ symbols reveal that previously reported LLM advantages deteriorate significantly under broader cross-section and over a longer-term evaluation. Our market regime analysis further demonstrates that LLM strategies are overly conservative in bull markets, underperforming passive benchmarks, and overly aggressive in bear markets, incurring heavy losses. These findings highlight the need to develop LLM strategies that are able to prioritise trend detection and regime-aware risk controls over mere scaling of framework complexity.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P1,Benchmarks and datasets,FinTradeBench: A Comprehensive Benchmark for Fundamental and Technical Analysis in Financial Trading,FinTradeBench,2026,Benchmark,Fundamental and technical analysis benchmark for trading,"Use to jointly evaluate regulatory filing analysis, price dynamics, and hybrid trading questions.",https://arxiv.org/abs/2603.19225,Useful for comparing RAG benefits across fundamental and technical tasks.,2,,,Yogesh Agrawal; Aniruddha Dutta; Mahadi Hasan; Santu Karmaker; Aritra Dutta,,,2603.19225,829170decaccd4dffc6e10275cd4a0b053e386e2,"Real-world financial decision-making is a challenging problem that requires reasoning over heterogeneous signals, including company fundamentals derived from regulatory filings and trading signals computed from price dynamics. Recently, with the advancement of Large Language Models (LLMs), financial analysts have begun to use them for financial decision-making tasks. However, existing financial question answering benchmarks for testing these models primarily focus on company balance sheet data and rarely evaluate reasoning over how company stocks trade in the market or their interactions with fundamentals. To take advantage of the strengths of both approaches, we introduce FinTradeBench, a benchmark for evaluating financial reasoning that integrates company fundamentals and trading signals. FinTradeBench contains 1,400 questions grounded in NASDAQ-100 companies over a ten-year historical window. The benchmark is organized into three reasoning categories: fundamentals-focused, trading-signal-focused, and hybrid questions requiring cross-signal reasoning. To ensure reliability at scale, we adopt a calibration-then-scaling framework that combines expert seed questions, multi-model response generation, intra-model self-filtering, numerical auditing, and human-LLM judge alignment. We evaluate 14 LLMs under zero-shot prompting and retrieval-augmented settings and witness a clear performance gap. Retrieval substantially improves reasoning over textual fundamentals, but provides limited benefit for trading-signal reasoning. These findings highlight fundamental challenges in the numerical and time-series reasoning for current LLMs and motivate future research in financial intelligence.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P1,Trading and investment,StockGPT: A GenAI Model for Stock Prediction and Trading,StockGPT,2024,Model,Autoregressive language-model framing for stock return sequences,Use to study LLM-like modeling of market time-series data rather than only natural language.,https://arxiv.org/abs/2404.05101,Represents tokenized return sequence modeling for stock prediction.,17,,,Dat Mai,Social Science Research Network,10.2139/ssrn.4787199,2404.05101,47b5630c5b8407f0b07047ee21e41664dd102ab9,"This article introduces StockGPT, an autoregressive number model trained and tested on 70 million daily US stock returns over nearly 100 years. Treating each return series as a sequence of tokens, StockGPT automatically learns the hidden patterns predictive of future returns via its attention mechanism. On a held-out test sample from 2001 to 2023, daily and monthly rebalanced long–short portfolios formed from StockGPT predictions yield solid performance. The StockGPT-based portfolios span momentum and long-/short-term reversals, reducing the need for manually crafted price-based strategies, and yield sizable alphas against leading stock market factors, suggesting a novel AI pricing effect. This highlights the immense promise of generative AI in surpassing humans in making complex financial investment decisions.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P1,Trading and investment,Decision-Informed Neural Networks with Large Language Model Integration for Portfolio Optimization,Decision-Informed Portfolio Optimization,2025,Method,Decision-focused portfolio optimization with LLM integration,Use to connect forecasting objectives to portfolio decision quality.,https://ideas.repec.org/p/arx/papers/2502.00828.html,Important distinction between prediction accuracy and portfolio utility.,12,,,Yoon-Jeong Hwang; Yaxuan Kong; Stefan Zohren; Yongjae Lee,arXiv.org,10.48550/arXiv.2502.00828,2502.00828,1cf03388dbcef225e17f8d6f5c071dd306676880,"This paper addresses the critical disconnect between prediction and decision quality in portfolio optimization by integrating Large Language Models (LLMs) with decision-focused learning. We demonstrate both theoretically and empirically that minimizing the prediction error alone leads to suboptimal portfolio decisions. We aim to exploit the representational power of LLMs for investment decisions. An attention mechanism processes asset relationships, temporal dependencies, and macro variables, which are then directly integrated into a portfolio optimization layer. This enables the model to capture complex market dynamics and align predictions with the decision objectives. Extensive experiments on S\&P100 and DOW30 datasets show that our model consistently outperforms state-of-the-art deep learning models. In addition, gradient-based analyses show that our model prioritizes the assets most crucial to decision making, thus mitigating the effects of prediction errors on portfolio performance. These findings underscore the value of integrating decision objectives into predictions for more robust and context-aware portfolio management.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P1,Trading and investment,Leveraging Large Language Models for Top-Down Sector Allocation,LLMs for Sector Allocation,2025,Empirical Study,Top-down sector allocation with LLMs,Use for sector strategy and industry-report style research.,https://arxiv.org/html/2503.09647v5,Complements bottom-up stock selection papers.,3,,,R. Heng; Edoardo Vittori; Keane Ong; Rui Mao; Erik Cambria; G. Mengaldo,arXiv.org,10.48550/arXiv.2503.09647,2503.09647,7e7ef7cab6ac823a798207557ea17b530445e5dc,"This paper introduces a methodology leveraging Large Language Models (LLMs) for sector-level portfolio allocation through systematic analysis of macroeconomic conditions and market sentiment. Our framework emphasizes top-down sector allocation by processing multiple data streams simultaneously, including policy documents, economic indicators, and sentiment patterns. Empirical results demonstrate superior risk-adjusted returns compared to traditional cross momentum strategies, achieving a Sharpe ratio of 2.51 and portfolio return of 8.79% versus -0.61 and -1.39% respectively. These results suggest that LLM-based systematic macro analysis presents a viable approach for enhancing automated portfolio allocation decisions at the sector level.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P2,Trading and investment,The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT over Multimodal Stock Movement Prediction Challenges,The Wall Street Neophyte,2023,Empirical Study,Zero-shot multimodal stock movement prediction,Use as a skeptical baseline showing limits of zero-shot LLM stock prediction.,https://arxiv.org/abs/2304.05351,Useful counterweight to overly optimistic trading papers.,77,,,Qianqian Xie; Weiguang Han; Yanzhao Lai; Min Peng; Jimin Huang,arXiv.org,10.48550/arXiv.2304.05351,2304.05351,ef4cb88b1635b34af15059567dfdf134f79797aa,"Recently, large language models (LLMs) like ChatGPT have demonstrated remarkable performance across a variety of natural language processing tasks. However, their effectiveness in the financial domain, specifically in predicting stock market movements, remains to be explored. In this paper, we conduct an extensive zero-shot analysis of ChatGPT's capabilities in multimodal stock movement prediction, on three tweets and historical stock price datasets. Our findings indicate that ChatGPT is a""Wall Street Neophyte""with limited success in predicting stock movements, as it underperforms not only state-of-the-art methods but also traditional methods like linear regression using price features. Despite the potential of Chain-of-Thought prompting strategies and the inclusion of tweets, ChatGPT's performance remains subpar. Furthermore, we observe limitations in its explainability and stability, suggesting the need for more specialized training or fine-tuning. This research provides insights into ChatGPT's capabilities and serves as a foundation for future work aimed at improving financial market analysis and prediction by leveraging social media sentiment and historical stock data.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P2,Trading and investment,"Your AI, Not Your View: The Bias of Large Language Models in Investment Analysis","Your AI, Not Your View",2025,Empirical Study,Model bias in investment analysis,"Use to study sector, size, momentum, and model-specific biases in investment outputs.",https://arxiv.org/html/2507.20957v4,Relevant for governance and investment-style bias auditing.,11,,,Hoyoung Lee; Junhyuk Seo; Suhwan Park; Junhyeong Lee; Wonbin Ahn; Chanyeol Choi; Alejandro Lopez-Lira; Yongjae Lee,International Conference on AI in Finance,10.1145/3768292.3770375,2507.20957,8ce3132d475eeb61ea9f68e593435ef82ad931a0,"In finance, Large Language Models (LLMs) face frequent knowledge conflicts arising from discrepancies between their pre-trained parametric knowledge and real-time market data. These conflicts are especially problematic in real-world investment services, where a model’s inherent biases can misalign with institutional objectives, leading to unreliable recommendations. Despite this risk, the intrinsic investment biases of LLMs remain underexplored. We propose an experimental framework to investigate emergent behaviors in such conflict scenarios, offering a quantitative analysis of bias in LLM-based investment analysis. Using hypothetical scenarios with balanced and imbalanced arguments, we extract the latent biases of models and measure their persistence. Our analysis, centered on sector, size, and momentum, reveals distinct, model-specific biases. Across most models, a tendency to prefer technology stocks, large-cap stocks, and contrarian strategies is observed. These foundational biases often escalate into confirmation bias, causing models to cling to initial judgments even when faced with increasing counter-evidence. A public leaderboard benchmarking bias across a broader set of models is available at https://linqalpha.com/leaderboard.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P2,Trading and investment,Leveraging Large Language Models for Institutional Investment Management,LLMs for Institutional Investment Management,2024,Empirical Study,LLMs for institutional multi-asset management,"Use to study portfolio management over stocks, bonds, and macro indicators.",https://arxiv.org/abs/2411.19515,Relevant to multi-asset allocation and institutional workflows.,3,,,Yoshia Abe; Shuhei Matsuo; Ryoma Kondo; Ryohei Hisano,BigData Congress [Services Society],10.1109/BigData62323.2024.10825362,2411.19515,9577eb062a07b2b725a46dfcef9da55950bac4e1,"Large language models (LLMs) have demonstrated promising performance in various financial applications, though their potential in complex investment strategies remains underexplored. To address this gap, we investigate how LLMs can predict price movements in stock and bond portfolios using economic indicators, enabling portfolio adjustments akin to those employed by institutional investors. Additionally, we explore the impact of incorporating different personas within LLMs, using an ensemble approach to leverage their diverse predictions. Our findings show that LLM-based strategies, especially when combined with the mode ensemble, outperform the buy-and-hold strategy in terms of Sharpe ratio during periods of rising consumer price index (CPI). However, traditional strategies are more effective during declining CPI trends or sharp market downturns. These results suggest that while LLMs can enhance portfolio management, they may require complementary strategies to optimize performance across varying market conditions.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P0,Financial agents,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,FinRobot Equity Research,2024,Agent / Framework,Equity research and valuation agent,"Use to study multi-agent chain-of-thought workflows for research reports, valuation, thesis, and risk analysis.",https://arxiv.org/abs/2411.08804,Core paper for equity research automation.,13,,,Tianyu Zhou; Pin Wang; Yilin Wu; Hongyang Yang,arXiv.org,10.48550/arXiv.2411.08804,2411.08804,ec5597c94359686cf7df73033913e08da7c54986,"As financial markets grow increasingly complex, there is a rising need for automated tools that can effectively assist human analysts in equity research, particularly within sell-side research. While Generative AI (GenAI) has attracted significant attention in this field, existing AI solutions often fall short due to their narrow focus on technical factors and limited capacity for discretionary judgment. These limitations hinder their ability to adapt to new data in real-time and accurately assess risks, which diminishes their practical value for investors. This paper presents FinRobot, the first AI agent framework specifically designed for equity research. FinRobot employs a multi-agent Chain of Thought (CoT) system, integrating both quantitative and qualitative analyses to emulate the comprehensive reasoning of a human analyst. The system is structured around three specialized agents: the Data-CoT Agent, which aggregates diverse data sources for robust financial integration; the Concept-CoT Agent, which mimics an analysts reasoning to generate actionable insights; and the Thesis-CoT Agent, which synthesizes these insights into a coherent investment thesis and report. FinRobot provides thorough company analysis supported by precise numerical data, industry-appropriate valuation metrics, and realistic risk assessments. Its dynamically updatable data pipeline ensures that research remains timely and relevant, adapting seamlessly to new financial information. Unlike existing automated research tools, such as CapitalCube and Wright Reports, FinRobot delivers insights comparable to those produced by major brokerage firms and fundamental research vendors. We open-source FinRobot at \url{https://github. com/AI4Finance-Foundation/FinRobot}.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
seed,P0,Financial agents,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,FinRobot Platform,2024,Agent Platform,Open-source financial AI agent platform,"Use to study platform architecture, LLMOps, DataOps, and financial agent layers.",https://arxiv.org/abs/2405.14767,Platform version of the FinRobot research program.,41,,,Hongyang Yang; Boyu Zhang; Neng Wang; Chengkai Guo; Xiaoli Zhang; Likun Lin; Junlin Wang; Tianyu Zhou; Mao Guan; Runjia Zhang; Chris Wang,arXiv.org,10.48550/arXiv.2405.14767,2405.14767,780881ba7440fb95ebc7114d8f219466275102f8,"As financial institutions and professionals increasingly incorporate Large Language Models (LLMs) into their workflows, substantial barriers, including proprietary data and specialized knowledge, persist between the finance sector and the AI community. These challenges impede the AI community's ability to enhance financial tasks effectively. Acknowledging financial analysis's critical role, we aim to devise financial-specialized LLM-based toolchains and democratize access to them through open-source initiatives, promoting wider AI adoption in financial decision-making. In this paper, we introduce FinRobot, a novel open-source AI agent platform supporting multiple financially specialized AI agents, each powered by LLM. Specifically, the platform consists of four major layers: 1) the Financial AI Agents layer that formulates Financial Chain-of-Thought (CoT) by breaking sophisticated financial problems down into logical sequences; 2) the Financial LLM Algorithms layer dynamically configures appropriate model application strategies for specific tasks; 3) the LLMOps and DataOps layer produces accurate models by applying training/fine-tuning techniques and using task-relevant data; 4) the Multi-source LLM Foundation Models layer that integrates various LLMs and enables the above layers to access them directly. Finally, FinRobot provides hands-on for both professional-grade analysts and laypersons to utilize powerful AI techniques for advanced financial analysis. We open-source FinRobot at \url{https://github.com/AI4Finance-Foundation/FinRobot}.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
seed,P0,"Reports, filings, and risk",The Structure of Financial Equity Research Reports,Equity Research Report Structure,2024,Empirical Study,Structure and automatable components of equity research reports,Use to estimate which parts of equity research reports can be automated from text and databases.,https://arxiv.org/abs/2407.18327,"Important for decomposing report generation into extraction, database lookup, and human judgment.",0,,,A. Pop; J. Spörer; Siegfried Handschuh,Swiss Conference on Data Science,10.1109/SDS66131.2025.00025,2407.18327,f8ab2530a3589d23fbdf47b1d5f761719d02f158,"This research dissects financial equity research reports (ERRs) by systematically mapping their content into categories. There is insufficient empirical analysis of the questions answered in ERRs. In particular, it is not understood how frequently certain information appears, what information is considered essential, and what information requires human judgment to distill into an ERR. The study analyzes 72 ERRs sentence-by-sentence, classifying their 4964 sentences into 169 unique question archetypes. We did not predefine the questions but derived them solely from the statements in the ERRs. This approach provides an unbiased view of the content of the observed ERRs. Subsequently, we used public corporate reports to classify the questions' potential for automation. Answers were labeled “text-extractable” if the answers to the question were accessible in corporate reports. 75.15% of the questions in ERRs can be automated using text extraction from text sources. Those automatable questions consist of 51.91% text-extractable (suited to processing by large language models, LLMs) and 24.24 % database-extractable questions. Only 24.85% of questions require human judgment to answer. We empirically validate, using Llama-3-70B and GPT-4-turbo-2024-04-09, that recent advances in language generation and information extraction enable the automation of approximately 80 % of the statements in ERRs. Surprisingly, the models complement each other's strengths and weaknesses well, indicating strong ensemble potential. The research confirms that the current writing process of ERRs can likely benefit from additional automation, improving quality and efficiency. The research thus allows us to quantify the potential impacts of introducing large language models in the ERR writing process. The full question list, including the archetypes and their frequency, are available online (janspoerer.github.io/pop-spoerer-2025-financial-report-data).","Reports, Filings, Accounting, and Risk","SEC filings, annual reports, XBRL, accounting, credit/risk, disclosure, and document analytics."
seed,P0,Benchmarks and datasets,FinRpt: Financial Report Understanding and Generation Benchmark,FinRpt,2025,Benchmark,Equity research report understanding and generation,Use to benchmark financial report generation and understanding.,https://arxiv.org/html/2511.07322v1,Directly relevant to industry and equity research report generation.,2,,,Song Jin; Shuqi Li; Shukun Zhang; Rui Yan,Proceedings of the AAAI Conference on Artificial Intelligence,10.48550/arXiv.2511.07322,2511.07322,60d168a660c89e1819e12b67a24534c7876000a7,"While LLMs have shown great success in financial tasks like stock prediction and question answering, their application in fully automating Equity Research Report generation remains uncharted territory. In this paper, we formulate the Equity Research Report (ERR) Generation task for the first time. To address the data scarcity and the evaluation metrics absence, we present an open-source evaluation benchmark for ERR generation - FinRpt. We frame a Dataset Construction Pipeline that integrates 7 financial data types and produces a high-quality ERR dataset automatically, which could be used for model training and evaluation. We also introduce a comprehensive evaluation system including 11 metrics to assess the generated ERRs. Moreover, we propose a multi-agent framework specifically tailored to address this task, named FinRpt-Gen, and train several LLM-based agents on the proposed datasets using Supervised Fine-Tuning and Reinforcement Learning. Experimental results indicate the data quality and metrics effectiveness of the benchmark FinRpt and the strong performance of FinRpt-Gen, showcasing their potential to drive innovation in the ERR generation field. All code and datasets are publicly available.","Reports, Filings, Accounting, and Risk","SEC filings, annual reports, XBRL, accounting, credit/risk, disclosure, and document analytics."
seed,P1,Trading and investment,Task-Adaptive Large Language Models to Generate Human-Persuasive Investment Reports,Task-Adaptive Investment Reports,2025,Method / Evaluation,Human-persuasive investment report generation,Use to evaluate whether generated investment reports influence or assist human decision-making.,https://aclanthology.org/2025.finnlp-2.23.pdf,Focuses on persuasion and task adaptation rather than only automatic text metrics.,0,,,M. Rizki; Yudi Wibisono; Eddy Prasetyo Nugroho,Brilliance Research of Artificial Intelligence,10.47709/brilliance.v5i2.6772,,81f5988f187f690d2503ab8fa27d38fa7afd6520,"The increasing interest in stock market investment in Indonesia has highlighted a significant challenge for retail investors: the difficulty of analyzing lengthy and complex corporate annual reports. These documents, essential for fundamental analysis, are often hundreds of pages long and contain detailed narrative sections that require considerable time and effort to comprehend. This research addresses this issue by developing an automatic summarization system using a Large Language Model (LLM) to generate concise and insightful summaries of such reports. The primary objective was to develop and evaluate an LLM-based system specifically adapted for the structure and content of annual reports. The method involved creating a tailored dataset comprising 2,008 narrative text excerpts and their corresponding manual summaries sourced from the annual reports of companies listed on the Indonesia Stock Exchange (IDX). The open-source Llama-3.2-3B-Instruct model was then fine-tuned using the Parameter-Efficient Fine-Tuning (PEFT) technique, specifically Low-Rank Adaptation (LoRA). The research results demonstrated a significant improvement in the model's performance after fine-tuning. Quantitative evaluation using ROUGE metrics showed a relative increase of 18.63% in ROUGE-1, 44.45% in ROUGE-2, and 33.83% in ROUGE-L compared to the base model. Qualitative analysis confirmed that the fine-tuned model was capable of generating informative and relevant summaries aligned with the context of annual report analysis. In conclusion, this study demonstrates that fine-tuning LLMs with document-specific data is an effective approach for specialized tasks such as annual report summarization.","Trading, Investment, and Portfolio Management","Stock prediction, trading, alpha, portfolio construction, allocation, investment reports, and market analysis."
seed,P1,Benchmarks and datasets,FinSphere: A Conversational Stock Analysis Agent based on Large Language Models,FinSphere,2025,Agent / Benchmark,Conversational stock analysis agent,"Use to study stock-analysis conversation, quantitative tools, databases, report generation, and AnalyScore-style evaluation.",https://arxiv.org/abs/2501.12399,Includes Stocksis dataset and stock analysis report generation.,1,,,Shijie Han; Jingshu Zhang; Yiqing Shen; Kaiyuan Yan; Hongguang Li,,,2501.12399,03416944c04d56e8edb6834aa91ee1753beda3a9,"Current financial large language models (FinLLMs) struggle with two critical limitations: the absence of objective evaluation metrics to assess the quality of stock analysis reports and a lack of depth in stock analysis, which impedes their ability to generate professional-grade insights. To address these challenges, this paper introduces FinSphere, a stock analysis agent, along with three major contributions: (1) AnalyScore, a systematic evaluation framework for assessing stock analysis quality, (2) Stocksis, a dataset curated by industry experts to enhance LLMs'stock analysis capabilities, and (3) FinSphere, an AI agent that can generate high-quality stock analysis reports in response to user queries. Experiments demonstrate that FinSphere achieves superior performance compared to both general and domain-specific LLMs, as well as existing agent-based systems, even when they are enhanced with real-time data access and few-shot guidance. The integrated framework, which combines real-time data feeds, quantitative tools, and an instruction-tuned LLM, yields substantial improvements in both analytical quality and practical applicability for real-world stock analysis.",Agents and Multi-Agent Systems,"Financial LLM agents, trading agents, multi-agent markets, agent benchmarks, and autonomous workflows."
